false_index,ra_deg,dec_deg,dx_arcsec,dy_arcsec,peak_snr
1,150.11774507680596,2.3695270836042783,-1.1102230246251565e-16,-0.4,4.674525065465489
2,150.11720750543046,2.37365580199661,-0.4,0.09999999999999987,3.858394146777199
3,150.11755866908413,2.372750219115958,-1.1102230246251565e-16,0.2999999999999998,3.61899856569207
4,150.12175299058606,2.371551339933487,0.3999999999999998,-0.10000000000000009,4.191429810668926
5,150.1197111151656,2.368779973828908,-0.4,-0.10000000000000009,3.06553465134324
6,150.11733531663052,2.3705466861083453,0.2999999999999998,0.09999999999999987,3.4931547515786034
7,150.11700818931274,2.369645776102636,0.2999999999999998,-0.4,4.412923110864597
8,150.1174984579341,2.3707030783212275,0.09999999999999987,-1.1102230246251565e-16,5.680933473814849
9,150.11870698825035,2.373296415515562,-0.20000000000000007,-0.10000000000000009,3.5798646733591157
10,150.11797719009047,2.371101545634744,0.19999999999999984,0.2999999999999998,2.9800859008253253
11,150.119383280781,2.373041887293241,0.2999999999999998,0.2999999999999998,3.8436051921257928
12,150.121123118627,2.370905434898194,0.2999999999999998,0.3999999999999998,3.5899275545008593
13,150.12170773430336,2.371684425781317,0.3999999999999998,-0.30000000000000004,2.8227911565587727
14,150.11867115326393,2.369089459323737,-0.4,0.2999999999999998,3.4225669960872316
15,150.11945665481926,2.3701261067460475,0.3999999999999998,-0.10000000000000009,3.964640269778082
16,150.12161144349844,2.3730688329140306,-0.4,0.3999999999999998,2.2924721631279206
17,150.11936351347148,2.37326185553028,0.3999999999999998,-0.4,3.8436051921257928
18,150.1177622577911,2.3716324171525662,-0.20000000000000007,-0.4,3.0623405196152564
19,150.12093666448587,2.3718371131247693,0.2999999999999998,-1.1102230246251565e-16,2.567056283923408
20,150.1172593979081,2.369611823540357,-0.30000000000000004,-0.30000000000000004,4.571787977459793
21,150.11751096349016,2.373523194843524,-0.10000000000000009,-1.1102230246251565e-16,4.487392009683985
22,150.1187773716855,2.369242938007837,-0.20000000000000007,0.2999999999999998,3.198871408678551
23,150.1172715751224,2.3736256342756423,0.2999999999999998,0.19999999999999984,3.7343229501483295
24,150.12002696445143,2.3691289527501582,-1.1102230246251565e-16,0.19999999999999984,3.761113244936138
25,150.12085658861832,2.3694105247846022,-1.1102230246251565e-16,0.2999999999999998,4.376914509796064
26,150.1212585605722,2.3687645904129973,-0.10000000000000009,-0.20000000000000007,4.610133670299957
27,150.12166771209408,2.372287500171777,-0.4,-0.10000000000000009,2.6900853513222467
28,150.12075704893292,2.3728395990720066,0.3999999999999998,-0.30000000000000004,3.312957774459716
29,150.11941399034728,2.372456060079769,-0.30000000000000004,0.19999999999999984,3.0588424923687434
30,150.11887773496537,2.3693922134962166,-0.4,0.3999999999999998,3.380207528444632
31,150.1170065315957,2.368863757628352,-0.4,-0.4,4.188137296724562
