false_index,ra_deg,dec_deg,dx_arcsec,dy_arcsec,peak_snr
1,150.1481144787497,2.25778357570379,0.19999999999999984,0.19999999999999984,3.609198392806662
2,150.14510279545638,2.2602241915664,-0.30000000000000004,0.3999999999999998,3.694255956629064
3,150.1476806801665,2.260995133378707,0.2999999999999998,-0.10000000000000009,3.3335695998437522
4,150.1466443577781,2.2598153425553185,-0.4,-0.4,2.2811798530217207
5,150.14563445330245,2.2605494168742086,-0.4,-1.1102230246251565e-16,2.4644569753047967
6,150.14488939823303,2.260120349062926,0.3999999999999998,-1.1102230246251565e-16,2.040265785567466
7,150.14740740141266,2.2592696647368826,0.09999999999999987,-0.4,2.8355857729508376
8,150.143237815432,2.259191951474222,-0.4,-0.20000000000000007,3.1555981157166624
9,150.14768423805398,2.2565878292269224,-1.1102230246251565e-16,-0.20000000000000007,3.9615828287648918
10,150.1458704828751,2.256957092272558,0.3999999999999998,0.19999999999999984,3.509388469829516
11,150.1461737098658,2.256476946270667,-0.4,-0.20000000000000007,4.13646601061633
12,150.14614144226363,2.256054888878961,-0.4,0.3999999999999998,3.0678066901804897
13,150.14709679991162,2.2585595450822167,-1.1102230246251565e-16,0.3999999999999998,3.414668234159573
14,150.1477851691486,2.2578754147888813,0.2999999999999998,-0.20000000000000007,3.069014385951915
15,150.14341579142277,2.2594369172214077,0.2999999999999998,-0.30000000000000004,3.9853451043476262
16,150.14469036673916,2.259716092032351,0.09999999999999987,-0.30000000000000004,2.7373779732306636
17,150.14730973421555,2.260144697112599,0.2999999999999998,0.2999999999999998,2.5235311272410494
18,150.1461727480388,2.260492770620788,-0.4,0.19999999999999984,3.1712184312566585
19,150.1434561480175,2.2596462845127845,-0.20000000000000007,-1.1102230246251565e-16,4.013113182379127
20,150.14454357961665,2.259770133795709,-0.10000000000000009,-0.30000000000000004,2.9093721965917516
21,150.14635255113322,2.256344147497928,-0.4,-0.10000000000000009,3.2514752260321136
22,150.14436242574678,2.258814144106008,0.2999999999999998,-0.4,2.3585946884335867
23,150.14469778466224,2.256745176139095,-0.20000000000000007,-0.4,2.834066153231294
24,150.14326407539343,2.259431698284484,0.3999999999999998,0.2999999999999998,3.300042617642795
25,150.14788604355826,2.258066866091501,0.3999999999999998,-0.10000000000000009,2.5182888609778162
26,150.1432767992462,2.2587938319649536,-0.30000000000000004,0.19999999999999984,3.265084391775628
27,150.1470518576291,2.2594156971574244,-0.30000000000000004,-1.1102230246251565e-16,4.547066562454982
28,150.1438995972527,2.2583061463363405,-0.4,0.2999999999999998,2.9166964569626295
29,150.14493273098302,2.259782673555761,0.19999999999999984,-0.30000000000000004,4.406452422869984
30,150.14402076321497,2.26012534128799,-0.4,-0.30000000000000004,3.463521588372992
31,150.14687456500712,2.256226284064591,0.3999999999999998,-1.1102230246251565e-16,3.8099297141065804
32,150.14652975602732,2.2601451431900976,0.09999999999999987,-0.4,1.6832544348806717
33,150.14331074675792,2.260808788740733,-1.1102230246251565e-16,-0.20000000000000007,2.5684785599422812
34,150.1439602005301,2.259367328224681,0.09999999999999987,0.2999999999999998,2.2526511293609097
35,150.14692342563166,2.2584068326913598,-0.10000000000000009,-0.30000000000000004,4.0894254564904635
36,150.14699470594374,2.2594864942543333,-0.10000000000000009,-0.20000000000000007,4.547066562454982
