ID,G235H,G235M,G395H,G395M,z_G235H,z_G235M,z_G395H,z_G395M,z_av,ra,dec,in_muse,edge,duplicate,AO_block,peak_snr,over_98,over_99.5
51579,1,0,1,0,4.5219,,4.52,,4.520949999999999,150.10867511,2.37438616,1,0,0,0,28.15738285457976,1,1
58782,1,0,1,0,4.9323,,4.9299,,4.9311,150.18008,2.37831,1,0,0,0,27.60806001867184,1,1
59457,1,1,0,1,2.9907,2.9905,,2.9911,2.990766666666666,150.13199753,2.37572923,1,0,0,0,3.5185557967306598,0,0
15748,0,1,0,1,,5.5206,,5.5197,5.52015,150.14800788,2.25321232,1,0,0,0,3.5669302354450965,0,0
16853,0,1,0,1,,5.8612,,5.8589,5.86005,150.12717624,2.25733562,1,0,0,0,3.310661130274364,0,0
17086,0,1,0,1,,5.5045,,5.5028,5.50365,150.14564003,2.25852728,1,0,0,0,4.016327249960744,0,0
28600,0,1,0,1,,3.4865,,3.4859,3.4862,150.11119409,2.29841707,1,0,0,0,3.293573728087618,0,0
42812,0,1,0,0,,2.9904,,,2.9904,150.07954494,2.34553161,1,0,0,0,3.3499177378709923,0,0
42990,0,1,0,1,,3.5202,,3.5196,3.5199,150.11015839,2.34666959,1,0,3,0,2.7758893926091344,0,0
43683,0,1,0,0,,3.5249,,,3.5249,150.08969066,2.34853549,1,0,0,0,13.254081069928528,1,1
44361,0,1,0,0,,5.1308,,,5.1308,150.07672123,2.35092093,1,0,0,0,15.19507787949546,1,1
45004,0,1,0,0,,5.2528,,,5.2528,150.07857439,2.35233747,1,0,0,0,5.901366432585133,1,0
45443,0,1,0,0,,3.3301,,,3.3301,150.12184196,2.35373748,1,0,0,0,4.749305166072034,0,0
46091,0,1,0,0,,3.188,,,3.188,150.11782167,2.35541026,1,0,0,0,4.078256499450081,0,0
47736,0,1,0,1,,2.9861,,2.9856,2.98585,150.13779189,2.3609968,1,0,0,0,2.1842499534165705,0,0
48146,0,1,0,0,,3.1552,,,3.1552,150.07949241,2.36255647,1,0,0,0,4.7683486943778295,0,0
48525,0,1,0,0,,3.9374,,,3.9374,150.08151033,2.36370612,1,0,0,0,8.643948539983903,1,1
48648,0,1,0,0,,3.417,,,3.417,150.0783225,2.36476518,1,0,0,0,3.7935188655562975,0,0
49540,0,1,0,0,,3.5651,,,3.5651,150.11117372,2.36757701,1,0,0,0,11.614866716872458,1,1
50654,0,1,0,0,,3.4621,,,3.4621,150.11930256,2.37124542,1,0,0,0,4.016708115212017,0,0
54521,0,1,0,0,,3.4164,,,3.4164,150.09362883,2.39552825,1,0,0,0,4.289548750659112,0,0
56591,0,1,0,0,,3.7526,,,3.7526,150.11778258,2.38685656,1,0,0,0,2.62913616408003,0,0
57111,0,1,0,0,,3.7576,,,3.7576,150.11472906,2.38735573,1,0,0,0,2.787450554064084,0,0
57248,0,1,0,0,,3.7214,,,3.7214,150.10662644,2.38372359,1,0,0,0,6.689545065314912,1,0
59737,0,1,0,1,,3.4173,,3.4161,3.4167,150.08672731,2.37497065,1,0,0,0,15.11413958325618,1,1
15479,0,0,1,0,,,5.1078,,5.1078,150.13683,2.25183,1,0,0,0,3.3331452278925866,0,0
17074,0,0,1,0,,,5.5034,,5.5034,150.14934465,2.25838717,1,0,0,0,5.1724305937594846,0,0
45547,0,0,1,0,,,4.4805,,4.4805,150.14623671,2.35438008,1,0,0,0,15.93690250982166,1,1
46008,0,0,1,0,,,4.4088,,4.4088,150.12415165,2.35584227,1,0,0,0,3.517961900685149,0,0
