ID,z_G235M,z_G235H,z_G395M,z_G395H,z_NII_G235M,z_NII_G235M_err,z_NII_G235M_snr,z_NII_G235H,z_NII_G235H_err,z_NII_G235H_snr,z_NII_G395M,z_NII_G395M_err,z_NII_G395M_snr,z_NII_G395H,z_NII_G395H_err,z_NII_G395H_snr
48146,3.1552,,,,3.155173891245405,0.0003153393840368714,24.917406854143145,,,,,,,,,
48256,,3.4833,,3.483,,,,3.4831772186569605,0.00015483186187933127,15.384470254706322,,,,3.471677451365893,0.021717429095805305,2.685870249786016
48525,3.9374,,,,3.937005723158336,0.000632506398221306,6.101987316237484,,,,,,,,,
48586,,3.4584,,,,,,,,,,,,,,
48648,3.417,,,,3.413715757348844,0.0015765599184871767,3.6900700102902646,,,,,,,,,
48688,,4.387,,4.3877,,,,,,,,,,4.395160080463708,0.0022755411061131095,3.3323130828972576
48744,,3.4562,,3.4562,,,,,,,,,,3.4535646079645197,0.0012575258083725354,2.676175974394023
49289,,3.756,,,,,,,,,,,,,,
49296,,3.756,,,,,,,,,,,,,,
49482,3.4182,,,,3.414236686207147,0.002476777842376383,5.011639951606793,,,,,,,,,
49540,3.5651,,,,3.5651,,7.128248302224898e-11,,,,,,,,,
49694,3.4182,,,,3.414236686207147,0.002476777842376383,5.011639951606793,,,,,,,,,
49726,,3.1699,,,,,,,,,,,,,,
49902,2.9612,2.9606,2.9607,,2.9615873682108766,0.000687032357660508,4.134492964128568,2.961142372041559,0.0004941931639576761,4.611494534290088,,,,,,
49939,,3.7488,,,,,,,,,,,,,,
50654,3.4621,,,,3.4616043547627218,0.001145776878108559,3.5552558925535984,,,,,,,,,
50751,3.1591,3.1588,,,3.160643077808661,0.0008885766654359039,1.8277208208951259,3.1588815715970098,0.00047267197337198184,6.607920084579153,,,,,,
50966,3.7145,3.7141,3.7138,,3.7135829128582145,0.0004913560298806319,8.682515300505026,,,,3.713896171062137,0.0006902518350677802,6.674060784412295,,,
50970,,3.0646,,,,,,,,,,,,,,
51240,,3.7177,,3.7177,,,,,,,,,,3.7182945212000122,0.00032984948815122057,5.701165878638721
51579,,4.5219,,4.52,,,,,,,,,,4.590952366505613,1.027630540899524,12.74334313341367
52096,,3.5402,,3.5399,,,,,,,,,,3.545559885870964,0.0011522178690050202,3.542965943349008
53792,,3.2975,,,,,,,,,,,,,,
53892,3.6317,3.631,,3.631,3.631513010108086,0.0002393167526890835,16.434953213859632,,,,,,,3.6333193374437354,0.0013936861385598158,2.778193479096232
53947,3.5347,3.534,,3.534,3.4761902228238215,2.3495248597374796,2.8424385284085916,,,,,,,3.534971860142524,3.0486549088352746,5.190479801234779
54193,3.5345,,,,3.534985715650568,0.00036981651695556394,12.344678864803328,,,,,,,,,
54521,3.4164,,,,3.4215035516793746,0.0038018584747812633,1.091637952684474,,,,,,,,,
54619,3.5326,3.5334,3.5326,,3.532270310038201,0.0004495508707750324,34.017432815603016,,,,3.532024716723492,0.0007259547346990503,19.237213286218648,,,
54969,5.8642,,5.8642,,,,,,,,5.873305447058705,,2.6772358390787123,,,
55418,3.8395,,,,3.840190955109753,0.001167697477054591,2.9285826523211766,,,,,,,,,
56591,3.7526,,,,3.752496143884515,0.00041332584702001996,8.407428804330436,,,,,,,,,
57111,3.7576,,,,3.7576,,3.8544209491615805e-10,,,,,,,,,
57248,3.7214,,,,3.7214,,1.0864034097249848e-10,,,,,,,,,
58782,,4.9323,,4.9299,,,,,,,,,,4.933307583280373,0.001494632117705616,2.2106383479855087
59457,2.9905,2.9907,2.9911,,2.9901864428909337,0.00016281706118477773,22.339960747833818,2.9904814545750513,0.00014376624561378894,21.030117937952905,,,,,,
59737,3.4173,,3.4161,,3.4171119635018146,0.001323440496713172,3.9124355858295825,,,,3.4161,,8.21666897821077e-11,,,
70850,3.1881,3.1872,3.1881,,3.187270984328852,0.00338789769739672,6.180178256850458,,,,3.1881000000000004,,1.4149135162572027e-11,,,
71380,3.0398,3.0399,3.0409,3.038,3.037355842714046,0.027476178357473093,1.183487945279329,,,,,,,,,
