ID,z_OIII,z_OIII_err,z_OIII_snr,z_OIII_grating,z_Hbeta,z_Hbeta_err,z_Hbeta_snr,z_Hbeta_grating,z_Ha,z_Ha_err,z_Ha_snr,z_Ha_grating,z_NII,z_NII_err,z_NII_snr,z_NII_grating,z_OII,z_OII_err,z_OII_snr,z_OII_grating
15479,5.108947826149207,0.0003123788581952,22.785650228085377,G395H,,,,,5.107371692483885,9.691265418845748e-05,16.39172751208058,G395H,,,,,,,,
15748,5.522639188529189,5.049910620984212e-05,417.4944105975211,G235M,5.519882297672376,0.000198430890313,40.075762856118615,G235M,5.519636739738201,0.0001317220821623,88.64268616079039,G395M,,,,,,,,
16853,,,,,,,,,5.861827553626734,0.0003794495584648,20.20123891186292,G235M,,,,,,,,
16871,3.0814630796266487,7.350233723419313e-05,44.90138093214652,G235H,,,,,,,,,,,,,,,,
17058,3.268980072447333,1.4644886873410567e-05,518.2024841807757,G235H,3.2677180638616,2.682677331205364e-05,100.87487612082496,G235H,3.267806770476633,1.884930938157369e-05,215.1765978304688,G235H,,,,,,,,
17074,5.50545452128854,0.0001530889063763,47.593130388649286,G395H,,,,,,,,,,,,,,,,
17086,5.505161822211587,5.143555743487495e-05,489.9656488212775,G395M,5.504320283429153,0.0001151783485878,67.19625239744187,G235M,5.5026313296068645,0.0001457346274803,161.32453595111667,G395M,,,,,,,,
17578,3.094567955187736,0.0001369311968233,19.53443336180146,G235H,,,,,3.0930966536530557,0.0001380310404691,21.492031883437644,G235H,,,,,,,,
17891,,,,,,,,,3.092675821890733,9.680989482906022e-05,22.314733555217597,G235H,,,,,,,,
18444,,,,,,,,,4.863015408142131,0.0001252936093198,16.558706824627865,G395H,,,,,,,,
18502,,,,,3.3744165450730303,4.391241389013948e-05,114.78369354793232,G235H,3.3746310569744367,1.3498735852590638e-05,278.750063931174,G235H,,,,,,,,
18866,3.2474744585663524,1.987392299358979e-05,1737.058700040688,G235M,3.246566747589144,3.814123910593153e-05,225.38354907118395,G235M,3.246587670983284,4.589429650093132e-05,676.2537362200378,G235M,,,,,,,,
19650,3.177518742814015,4.7085854745298215e-05,104.9461353830142,G235M,3.1766250491054464,0.000129747768784,17.325337500130026,G235M,3.176691445033631,5.653113400306478e-05,62.69844841577907,G235M,,,,,,,,
19819,3.084496294212153,1.6356734488597256e-05,638.6279826493767,G235H,3.0833958191651663,4.051822014395482e-05,81.07737446274966,G235H,3.083400504822829,1.5528734348618435e-05,258.80436641379066,G235H,,,,,,,,
19928,5.366915158108292,0.0001309900817032,87.3598919865706,G395H,,,,,,,,,,,,,,,,
23341,3.1840106038551834,1.553441811182018e-05,1028.3351194754057,G235H,3.1829168321158834,5.365851371186923e-05,78.78981460705121,G235M,3.1827997738796983,1.87200589781402e-05,257.5485704819222,G235H,,,,,,,,
23887,3.2615721879656974,0.0001709145818282,27.136539582084534,G235H,3.259427123858757,0.0003027870843752,14.267580139831908,G235M,3.259753805779768,9.956837389063108e-05,46.05917233192248,G235M,3.259220504556885,0.0002152901385839,14.750678809166802,G235M,,,,
26580,3.005279481392564,1.3861268888426536e-05,754.6525526772442,G235H,3.004128119261292,2.5901219714211853e-05,107.85694864842527,G235H,3.0041352818844578,1.4795598268150376e-05,456.6169588159693,G235H,3.0043303698475405,0.0001309655221212,21.65735304431209,G235H,,,,
26999,3.300137844392818,1.673586822229722e-05,288.64708853985803,G235H,3.298908575420522,0.0001174626642324,40.047184402416136,G235H,,,,,,,,,,,,
27014,5.734293053574408,8.995040580371694e-05,616.5610539620261,G395M,5.7327390653797305,0.0001662671259733,67.2302115902707,G395M,5.732797780137513,0.0001160527404914,133.56094969396008,G395M,,,,,,,,
28600,3.487007543447717,7.697099468182251e-05,152.10680006251195,G235M,3.4862547115111333,0.0001313639066052,21.0611474805959,G235M,3.4866214705079672,9.508262519054378e-05,64.6641563927095,G235M,,,,,,,,
29701,3.4899060755399622,2.15465221486052e-05,627.020488512274,G235H,3.4886088471015784,3.275801854656982e-05,101.58049527500717,G235H,3.487590426407148,6.446870425695143e-05,87.41632677363918,G395M,,,,,,,,
33361,3.48937394450284,1.7831119190409698e-05,421.7183045450155,G235H,3.4882061048121797,6.487196770324669e-05,55.43857188239944,G235H,3.488010566601944,1.921032258633512e-05,140.56697258231588,G235M,3.488370775068044,0.000271273964665,15.012059833654918,G235M,,,,
35799,3.1854478218927573,0.0003280126131134,16.433468526111554,G235H,,,,,,,,,,,,,,,,
38195,3.182307796631096,0.0002971215556827,13.582940737941282,G235H,,,,,,,,,,,,,,,,
41512,,,,,,,,,2.961675443741489,0.0001178754292266,58.795373633356405,G235H,2.959570648610885,0.0002201741388021,13.839237151707144,G235H,,,,
42751,3.184537811382972,1.833526303364173e-05,320.21268993946256,G235H,3.183737381596498,9.650475469533564e-05,37.91289703037015,G235H,,,,,,,,,,,,
42812,,,,,,,,,2.9907673724368067,0.0001506410269415,31.56618383619059,G235M,,,,,,,,
42990,3.521121896921187,0.0001198305767379,56.78423482865562,G235M,,,,,3.5199413481112085,9.03598829761842e-05,28.943225480741937,G235M,,,,,,,,
43129,3.521121896921187,0.0001198305767379,56.78423482865562,G235M,,,,,3.5199413481112085,9.03598829761842e-05,28.943225480741937,G235M,,,,,,,,
43604,3.0026473378211547,0.0001565294105892,48.2076752843826,G235M,,,,,3.0014995064540093,0.000230268917011,21.299619622920957,G235M,,,,,,,,
43683,3.52606261544765,5.2879688536816815e-05,138.18765234199736,G235M,3.524705921936344,0.0001459784028011,18.90716321527524,G235M,3.524606491360293,4.2454598937799696e-05,66.45336968717369,G235M,,,,,,,,
43713,3.0026473378211547,0.0001565294105892,48.2076752843826,G235M,,,,,3.0014995064540093,0.000230268917011,21.299619622920957,G235M,,,,,,,,
44361,5.132260396411653,9.481866492858844e-05,51.55502046363567,G235M,5.130767429294468,0.0003711414811613,13.280600182598548,G235M,5.130521783494298,0.0003397032116955,26.404486750696293,G235M,,,,,,,,
44980,5.256126889924292,0.000161015077691,61.96920452823488,G395H,,,,,5.252581062419972,0.000128719086368,49.65881996347853,G235M,5.252373374360273,0.0003599458120287,13.639918212049023,G235M,5.2541785915144885,0.0003153532230436,21.6135385426504,G235H
45004,5.254917580157724,0.0001244015258365,52.08147307779337,G235M,,,,,5.252581062419972,0.000128719086368,49.65881996347853,G235M,5.252373374360273,0.0003599458120287,13.639918212049023,G235M,,,,
45443,3.3314385002049782,5.8227065853986696e-05,89.4842526744704,G235M,3.3301527728562217,0.0001771549511714,13.086169400231157,G235M,3.329740489677987,8.612044652826431e-05,37.38303832426638,G235M,,,,,,,,
45547,,,,,,,,,4.480683587300725,0.0001542204175311,21.295641810600745,G395H,,,,,,,,
45677,3.754906389376436,2.0365067741070243e-05,306.9002933816503,G235H,3.753329447777652,0.000169334485847,32.5893835057736,G235H,3.753429507868189,6.291210096773855e-05,60.31423333849499,G395H,,,,,,,,
45963,5.518194894913958,0.0001027554687987,92.65278554946494,G395H,,,,,,,,,,,,,,,,
46091,3.1888448013842874,0.0001784968033316,40.90054854768093,G235M,3.187907256031604,0.0001498547510035,28.548260138293312,G235M,3.1879720637052182,5.2623263382826414e-05,190.1953488248291,G235M,3.188292419427576,0.0001089619295402,83.40143285530826,G235M,,,,
46212,3.37388307430417,3.873109752127111e-05,232.52935605531212,G235H,3.3725195418352367,0.0001531243440882,19.742674532975872,G235H,,,,,,,,,,,,
46887,,,,,,,,,3.324865792972356,0.0001536446454217,21.318469565956377,G235H,,,,,,,,
46979,3.4614588551795977,2.9228237109280546e-05,238.30312786257272,G235H,3.459743450847224,0.0002145546047964,14.68374792333002,G235H,,,,,,,,,,,,
47137,,,,,,,,,4.038853297088122,8.340285377007043e-05,33.628279381601295,G395H,,,,,,,,
47218,4.391688730551099,7.29197288527793e-05,42.42474059412324,G235H,,,,,4.3905566304436014,0.0002355828744305,19.28915418621548,G395H,,,,,,,,
47283,3.7556398181133535,5.426709278322896e-05,110.785938755298,G235H,,,,,3.754340642422472,0.0001158540092516,27.53742662773121,G395H,,,,,,,,
47549,3.231870179898798,7.916418236246229e-05,77.94877812445543,G235M,3.231578503360276,3.623358650275123e-05,100.92078631446628,G235H,3.231895632919767,4.215589204194437e-05,303.0950935344742,G235H,3.2319089553831324,3.357054585874736e-05,113.58343287448083,G235H,,,,
47664,3.519489986483696,5.6957250207090605e-05,724.9760775798526,G235M,3.518000168507092,4.109734118866874e-05,69.25676950762221,G235H,3.518266472333128,4.233749193920306e-05,218.8320019916937,G235M,,,,,3.517445472814824,0.0001074772518469,38.31846184295147,G235H
47736,2.9871504317981623,4.0646964489429305e-05,205.5824530434745,G235M,2.985583679651398,0.0002722418878815,24.20583546904048,G235M,2.985752175352965,3.636122790013176e-05,162.30713156653675,G235M,2.985766991143193,0.0003593077330708,15.830172643693649,G235M,,,,
47750,2.988601484137201,1.210815772871726e-05,786.549843061541,G235H,2.987391819535364,3.2784161134261746e-05,120.72922748537133,G235H,2.987486560364225,2.4256483132486908e-05,493.7076598056868,G235H,2.987625052893104,9.04754169596624e-05,43.87960670696964,G235H,,,,
48086,,,,,,,,,3.15968134676155,0.0001501390488859,14.625530300848329,G235H,,,,,,,,
48121,4.517360727949767,0.0001488860668692,48.76769002424152,G235M,4.515323346214408,0.0003935313657342,13.94526155633134,G235M,4.515921138869523,9.823916093353416e-05,42.88149336654348,G235M,4.516562776830918,0.00027744693685,15.919671479501126,G235M,,,,
48146,3.155380571338563,0.0004341416801085,13.401198333331568,G235M,3.153757587239821,0.0002442603477057,15.293772239727936,G235M,3.155164927490425,0.0001723724639552,58.98607201599795,G235M,3.155173891245405,0.0003153393840368,24.917406854143145,G235M,,,,
48256,3.4844627131972983,3.479354846268039e-05,113.3761854840682,G235H,,,,,3.4832853808690185,4.072679211843114e-05,86.44187772707288,G235H,3.4831772186569605,0.0001548318618793,15.384470254706322,G235H,,,,
48525,3.93883538677916,9.49263103837864e-05,100.4817157089094,G235M,3.936637109801125,0.0003886944461528,24.438647575193844,G235M,3.936883890964472,0.0001478961138372,46.060739182250586,G235M,,,,,,,,
48586,3.4596043884078185,6.598362804173489e-05,78.7754987579076,G235H,,,,,,,,,,,,,,,,
48648,3.4184674339476557,8.030341673561968e-05,237.91029179923552,G235M,3.4171331561431044,0.0001942336505242,33.09757880153238,G235M,3.416985978060329,6.767301995721469e-05,62.10189631211392,G235M,,,,,3.417564402825379,0.0006445648857514,19.20332526346093,G235M
48688,4.388786720901873,6.251263479347733e-05,67.69300376426644,G235H,4.387013818088732,0.000309970129669,17.20301861805035,G235H,4.387535869221133,0.0001155682368396,32.41090661366228,G395H,,,,,,,,
48744,3.4573448216184914,4.0351298783084896e-05,131.9836035140444,G235H,3.4561681978165133,0.0002051686433305,14.819483079819358,G235H,,,,,,,,,,,,
49289,3.7572416830020936,2.545421646777606e-05,243.9711163689406,G235H,3.7559837701495606,0.0001185743581686,30.526782919715792,G235H,,,,,,,,,,,,
49296,3.7572416830020936,2.545421646777606e-05,243.9711163689406,G235H,3.7559837701495606,0.0001185743581686,30.526782919715792,G235H,,,,,,,,,,,,
49482,3.4199192904280213,0.0001091955797798,113.27028314380505,G235M,3.417550809742984,0.0003933291123596,17.63505154532583,G235M,3.4176143917990016,0.0001927736030122,40.43305118024893,G235M,,,,,,,,
49540,,,,,3.565009926208435,0.0001997633097001,13.712958634186268,G235M,3.5648687486500403,0.0001034689222739,27.55475751526153,G235M,,,,,,,,
49694,3.4199192904280213,0.0001091955797798,113.27028314380505,G235M,3.417550809742984,0.0003933291123596,17.63505154532583,G235M,3.4176143917990016,0.0001927736030122,40.43305118024893,G235M,,,,,,,,
49726,3.1711728991265264,7.590172737385874e-05,44.808907072430856,G235H,,,,,,,,,,,,,,,,
49902,2.9618321363582,2.074018741653523e-05,351.9618689446096,G235H,2.9607312229159266,5.329241520251684e-05,60.081779212947424,G235H,2.96072939309458,1.1315840083885791e-05,272.249455854196,G235H,,,,,,,,
49939,3.750372266997093,0.000196438673155,15.62765446040448,G235H,,,,,,,,,,,,,3.7471121103894687,0.0004457681665084,14.609230180580337,G235H
50654,3.463694344321006,0.0002339035337104,31.012316594592622,G235M,,,,,3.461432303536553,0.0001189379404045,21.770372938662927,G235M,,,,,,,,
50751,3.159992468663634,4.534184821596724e-05,98.92988167647157,G235H,3.1589331709137864,0.0001666947106605,18.591798727473424,G235H,3.1589038716066744,3.7633707185218775e-05,53.86855325893596,G235H,,,,,,,,
50966,3.715756172445461,4.681425092102902e-05,176.58521429499203,G235M,3.71424442081862,0.0001066953720556,21.065798794820083,G235H,3.714337164917257,7.098312332126e-05,75.53507082532951,G235M,,,,,3.714391719379285,0.0002204246820912,18.33921639688185,G235H
50970,3.0655103966160846,9.134226415702104e-05,40.233538663907474,G235H,,,,,,,,,,,,,,,,
51240,3.7190006042280377,8.57677311989299e-05,95.71856475812709,G235H,3.717913825853216,0.0003017653422062,15.30747381107203,G235H,3.717815100848788,6.245867018983176e-05,54.02977519153046,G395H,,,,,,,,
51579,4.522096513814507,3.283737188762243e-05,156.67946093020075,G235H,4.520217571976007,0.000211841480961,15.678782270154835,G235H,4.520456299481968,8.750246118811091e-05,52.471731521016,G395H,,,,,,,,
52096,3.541388778863777,3.7800855038501696e-05,182.887285341014,G235H,3.540040991362692,0.000160519105783,22.250537058374576,G235H,3.539940122266142,7.380828876079895e-05,32.230899515088915,G395H,,,,,3.540441558682005,0.0004840107593344,15.410324841546243,G235H
53792,3.2986394418425613,2.946723160854316e-05,148.0020951134113,G235H,3.2973424633390094,0.0001057436389985,22.47790060455254,G235H,,,,,,,,,,,,
53892,3.6328490294062137,6.082616021228054e-05,353.63052346058265,G235M,3.6313024544750494,8.715634409175402e-05,40.03530069058918,G235M,3.631279556736768,5.397969607790207e-05,158.98182715187227,G235M,3.631513010108086,0.000239316752689,16.434953213859632,G235M,3.6322958230185862,0.000667312216564,26.116277957160737,G235M
53947,3.5359099966434178,0.000120503908734,115.22642633959792,G235M,3.5346808804661567,0.000229353503597,19.071210134301143,G235M,3.5345478828708057,7.457415200250498e-05,52.46886343330408,G235M,,,,,,,,
54193,3.5357192266194497,5.647029245177305e-05,252.2094585244984,G235M,3.534473390525184,0.0001019517617303,30.959506718585747,G235M,3.5345153193041963,5.7915523980523565e-05,124.95837850116196,G235M,,,,,,,,
54521,3.417666420185612,0.0002080163662328,23.062243147224823,G235M,,,,,,,,,,,,,,,,
54619,3.534814878256964,6.08658561059752e-05,97.73323751066133,G235H,3.5333267590007846,0.0001495291699541,27.046293810638765,G235H,3.532579873170328,0.0001008640936727,115.3283445697903,G235M,,,,,,,,
