ID,z_G235M,z_G235H,z_G395M,z_G395H,z_Hbeta_G235M,z_Hbeta_G235M_err,z_Hbeta_G235M_snr,z_Hbeta_G235H,z_Hbeta_G235H_err,z_Hbeta_G235H_snr,z_Hbeta_G395M,z_Hbeta_G395M_err,z_Hbeta_G395M_snr,z_Hbeta_G395H,z_Hbeta_G395H_err,z_Hbeta_G395H_snr
48121,4.5155,4.5094,,,4.515323346214408,0.00039353136573423556,13.945261556331339,4.4996221076239395,0.010110764590321479,4.994832150209923,,,,,,
48146,3.1552,,,,3.153757587239821,0.0002442603477057778,15.293772239727936,,,,,,,,,
48256,,3.4833,,3.483,,,,,,,,,,,,
48525,3.9374,,,,3.936637109801125,0.00038869444615284457,24.438647575193844,,,,,,,,,
48586,,3.4584,,,,,,3.458734111488549,0.0002829549083258965,9.570300406846385,,,,,,
48648,3.417,,,,3.4171331561431044,0.00019423365052420604,33.09757880153238,,,,,,,,,
48688,,4.387,,4.3877,,,,4.3870138180887315,0.0003099701296690695,17.20301861805035,,,,,,
48744,,3.4562,,3.4562,,,,3.4561681978165133,0.0002051686433305568,14.819483079819358,,,,,,
49289,,3.756,,,,,,3.7559837701495606,0.00011857435816864122,30.526782919715792,,,,,,
49296,,3.756,,,,,,3.7559837701495606,0.00011857435816864122,30.526782919715792,,,,,,
49482,3.4182,,,,3.417550809742984,0.0003933291123596062,17.63505154532583,,,,,,,,,
49540,3.5651,,,,3.565009926208435,0.00019976330970017088,13.712958634186268,,,,,,,,,
49694,3.4182,,,,3.417550809742984,0.0003933291123596062,17.63505154532583,,,,,,,,,
49726,,3.1699,,,,,,3.170202899785238,0.000951882459112123,3.21041568944864,,,,,,
49902,2.9612,2.9606,2.9607,,2.9621906057161778,0.0002623905934262717,9.695893207598322,2.9607312229159266,5.3292415202516836e-05,60.081779212947424,,,,,,
49939,,3.7488,,,,,,3.7495985556150524,1.6401365148982865,2.018496802612044,,,,,,
50654,3.4621,,,,3.4619899125454836,0.0009716964031084413,4.997734712272168,,,,,,,,,
50751,3.1591,3.1588,,,3.1593259938017004,0.0003419368243604338,6.898540523405502,3.1589331709137864,0.00016669471066055414,18.591798727473424,,,,,,
50966,3.7145,3.7141,3.7138,,3.714042722816182,0.00014020337598906983,20.01283065899302,3.71424442081862,0.00010669537205569305,21.065798794820083,,,,,,
50970,,3.0646,,,,,,3.0649821338808865,0.0006041271945520026,5.450442422551237,,,,,,
51240,,3.7177,,3.7177,,,,3.7179138258532163,0.00030176534220622804,15.30747381107203,,,,,,
51579,,4.5219,,4.52,,,,4.520217571976007,0.0002118414809610168,15.678782270154835,,,,,,
52096,,3.5402,,3.5399,,,,3.540040991362692,0.00016051910578302104,22.250537058374576,,,,,,
53792,,3.2975,,,,,,3.2973424633390094,0.00010574363899851619,22.47790060455254,,,,,,
53892,3.6317,3.631,,3.631,3.6313024544750494,8.715634409175402e-05,40.03530069058918,3.631216553062565,0.0008889536426640503,5.018660028109798,,,,,,
