ID,z_G235M,z_G235H,z_G395M,z_G395H,z_OIII_G235M,z_OIII_G235M_err,z_OIII_G235M_snr,z_OIII_G235M_method,z_OIII_G235M_cont_side,z_OIII_G235H,z_OIII_G235H_err,z_OIII_G235H_snr,z_OIII_G235H_method,z_OIII_G235H_cont_side,z_OIII_G395M,z_OIII_G395M_err,z_OIII_G395M_snr,z_OIII_G395M_method,z_OIII_G395M_cont_side,z_OIII_G395H,z_OIII_G395H_err,z_OIII_G395H_snr,z_OIII_G395H_method,z_OIII_G395H_cont_side
43604,3.0017,3.0,3.0025,,3.0026473378211547,0.00015652941058921357,48.2076752843826,joint_4959_5007,both,3.0011570401049177,0.00023277427878285175,23.73549863137278,joint_4959_5007,both,,,,,,,,,,
43683,3.5249,,,,3.5260626154476506,5.2879688536816815e-05,138.18765234199736,joint_4959_5007,both,,,,,,,,,,,,,,,
43713,3.0017,3.0,3.0025,,3.0026473378211547,0.00015652941058921357,48.2076752843826,joint_4959_5007,both,3.0011570401049177,0.00023277427878285175,23.73549863137278,joint_4959_5007,both,,,,,,,,,,
44361,5.1308,,,,5.132260396411653,9.481866492858844e-05,51.55502046363567,joint_4959_5007,both,,,,,,,,,,,,,,,
44980,5.2528,5.2574,,5.2545,5.2549175801577235,0.00012440152583654968,52.08147307779337,joint_4959_5007,both,,,,,,,,,,,5.256126889924292,0.0001610150776910356,61.969204528234876,joint_4959_5007,both
45004,5.2528,,,,5.2549175801577235,0.00012440152583654968,52.08147307779337,joint_4959_5007,both,,,,,,,,,,,,,,,
45443,3.3301,,,,3.3314385002049782,5.8227065853986696e-05,89.4842526744704,joint_4959_5007,both,,,,,,,,,,,,,,,
45547,,,,4.4805,,,,,,,,,,,,,,,,,,,,
45677,,3.7535,,3.7535,,,,,,3.754906389376436,2.0365067741070243e-05,306.9002933816503,joint_4959_5007,both,,,,,,,,,,
45963,,5.5194,,5.5168,,,,,,,,,,,,,,,,5.518194894913958,0.00010275546879875966,92.65278554946494,joint_4959_5007,both
46008,,,,4.4088,,,,,,,,,,,,,,,,,,,,
46091,3.188,,,,3.1888448013842874,0.00017849680333167057,40.900548547680934,joint_4959_5007,both,,,,,,,,,,,,,,,
46212,,3.3726,,,,,,,,3.37388307430417,3.873109752127111e-05,232.52935605531215,joint_4959_5007,both,,,,,,,,,,
46887,,3.3249,,3.3108,,,,,,,,,,,,,,,,,,,,
46979,,3.4601,,,,,,,,3.4614588551795977,2.9228237109280542e-05,238.30312786257272,joint_4959_5007,both,,,,,,,,,,
47137,,4.0384,,4.0387,,,,,,,,,,,,,,,,,,,,
47218,,4.3907,,4.3904,,,,,,4.391688730551099,7.29197288527793e-05,42.424740594123236,joint_4959_5007,both,,,,,,,,,,
47283,,3.7543,,3.7543,,,,,,3.7556398181133543,5.426709278322896e-05,110.78593875529799,joint_4959_5007,both,,,,,,,,,,
47549,3.2311,3.2319,3.2316,3.2319,3.231870179898798,7.916418236246229e-05,77.94877812445543,joint_4959_5007,both,,,,,,,,,,,,,,,
47664,3.5182,3.5179,3.5182,,3.5194899864836957,5.6957250207090605e-05,724.9760775798526,joint_4959_5007,both,3.5179,,7.763240184169097e-11,joint_4959_5007,both,,,,,,,,,,
47736,2.9861,,2.9856,,2.9871504317981623,4.0646964489429305e-05,205.58245304347446,joint_4959_5007,both,,,,,,,,,,,,,,,
47750,2.9869,2.9874,2.9875,,2.9879716833935595,3.0176108546966334e-05,405.1751564061296,joint_4959_5007,both,2.9886014841372015,1.210815772871726e-05,786.549843061541,joint_4959_5007,both,,,,,,,,,,
48086,,3.1601,,,,,,,,3.199436984326499,0.031349079404045084,1.3047000006618974,joint_4959_5007,both,,,,,,,,,,
48121,4.5155,4.5094,,,4.517360727949767,0.0001488860668692395,48.767690024241524,joint_4959_5007,both,4.5069056793028235,0.0003175701648889709,7.904342033187531,joint_4959_5007,both,,,,,,,,,,
48146,3.1552,,,,3.155380571338563,0.0004341416801085909,13.401198333331568,joint_4959_5007,both,,,,,,,,,,,,,,,
48256,,3.4833,,3.483,,,,,,3.4844627131972983,3.479354846268039e-05,113.3761854840682,joint_4959_5007,both,,,,,,,,,,
48525,3.9374,,,,3.93883538677916,9.492631038378639e-05,100.48171570890939,joint_4959_5007,both,,,,,,,,,,,,,,,
48586,,3.4584,,,,,,,,3.4596043884078185,6.598362804173489e-05,78.7754987579076,joint_4959_5007,both,,,,,,,,,,
48648,3.417,,,,3.4184674339476553,8.030341673561968e-05,237.91029179923552,joint_4959_5007,both,,,,,,,,,,,,,,,
48688,,4.387,,4.3877,,,,,,4.388786720901873,6.251263479347733e-05,67.69300376426644,joint_4959_5007,both,,,,,,,,,,
48744,,3.4562,,3.4562,,,,,,3.4573448216184914,4.0351298783084896e-05,131.9836035140444,joint_4959_5007,both,,,,,,,,,,
49289,,3.756,,,,,,,,3.7572416830020936,2.545421646777606e-05,243.9711163689406,joint_4959_5007,both,,,,,,,,,,
49296,,3.756,,,,,,,,3.7572416830020936,2.545421646777606e-05,243.9711163689406,joint_4959_5007,both,,,,,,,,,,
49482,3.4182,,,,3.4199192904280213,0.00010919557977981685,113.27028314380505,joint_4959_5007,both,,,,,,,,,,,,,,,
49540,3.5651,,,,,,,,,,,,,,,,,,,,,,,
49694,3.4182,,,,3.4199192904280213,0.00010919557977981685,113.27028314380505,joint_4959_5007,both,,,,,,,,,,,,,,,
49726,,3.1699,,,,,,,,3.1711728991265264,7.590172737385874e-05,44.808907072430856,joint_4959_5007,both,,,,,,,,,,
49902,2.9612,2.9606,2.9607,,2.9624312341345567,0.0001165726565049722,61.763467675637635,joint_4959_5007,both,2.9618321363581996,2.074018741653523e-05,351.9618689446096,joint_4959_5007,both,,,,,,,,,,
49939,,3.7488,,,,,,,,3.750443239324462,0.00019120766307886955,20.74229611667582,joint_4959_5007,blue,,,,,,,,,,
50654,3.4621,,,,3.4636943443210066,0.00023390353371047982,31.012316594592626,joint_4959_5007,both,,,,,,,,,,,,,,,
50751,3.1591,3.1588,,,3.1603335882841446,0.00033243735640147625,16.615299905504813,joint_4959_5007,both,3.159992468663634,4.534184821596724e-05,98.92988167647157,joint_4959_5007,both,,,,,,,,,,
