ID,G235H,G235M,G395H,G395M,z_G235H,z_G235M,z_G395H,z_G395M,z_av,ra,dec,in_muse
19650,0,1,0,1,,3.1763,,3.1769,3.1765999999999996,150.1562164,2.26798208,0
27014,0,1,0,1,,5.7331,,5.7322,5.73265,150.08161579,2.29375541,0
28600,0,1,0,1,,3.4865,,3.4859,3.4862,150.11119409,2.29841707,1
42812,0,1,0,0,,2.9904,,,2.9904,150.07954494,2.34553161,1
42990,0,1,0,1,,3.5202,,3.5196,3.5199,150.11015839,2.34666959,1
43129,0,1,0,1,,3.5202,,3.5196,3.5199,150.11015839,2.34666959,1
43683,0,1,0,0,,3.5249,,,3.5249,150.08969066,2.34853549,1
44361,0,1,0,0,,5.1308,,,5.1308,150.07672123,2.35092093,1
45004,0,1,0,0,,5.2528,,,5.2528,150.07857439,2.35233747,1
45443,0,1,0,0,,3.3301,,,3.3301,150.12184196,2.35373748,1
46091,0,1,0,0,,3.188,,,3.188,150.11782167,2.35541026,1
47736,0,1,0,1,,2.9861,,2.9856,2.98585,150.13779189,2.3609968,1
48146,0,1,0,0,,3.1552,,,3.1552,150.07949241,2.36255647,1
48525,0,1,0,0,,3.9374,,,3.9374,150.08151033,2.36370612,1
48648,0,1,0,0,,3.417,,,3.417,150.0783225,2.36476518,1
49482,0,1,0,0,,3.4182,,,3.4182,150.07949246,2.36779416,1
49540,0,1,0,0,,3.5651,,,3.5651,150.11117372,2.36757701,1
49694,0,1,0,0,,3.4182,,,3.4182,150.07949246,2.36779416,1
50654,0,1,0,0,,3.4621,,,3.4621,150.11930256,2.37124542,1
54193,0,1,0,0,,3.5345,,,3.5345,150.10120262,2.39667794,1
54521,0,1,0,0,,3.4164,,,3.4164,150.09362883,2.39552825,1
54969,0,1,0,1,,5.8642,,5.8642,5.8642,150.12661955,2.39304608,0
55418,0,1,0,0,,3.8395,,,3.8395,150.10099069,2.39211075,1
56591,0,1,0,0,,3.7526,,,3.7526,150.11778258,2.38685656,1
57111,0,1,0,0,,3.7576,,,3.7576,150.11472906,2.38735573,1
57248,0,1,0,0,,3.7214,,,3.7214,150.10662644,2.38372359,1
59737,0,1,0,1,,3.4173,,3.4161,3.4167,150.08672731,2.37497065,1
15479,0,0,1,0,,,5.1078,,5.1078,150.13683,2.25183,1
17074,0,0,1,0,,,5.5034,,5.5034,150.14934465,2.25838717,1
45547,0,0,1,0,,,4.4805,,4.4805,150.14623671,2.35438008,1
46008,0,0,1,0,,,4.4088,,4.4088,150.12415165,2.35584227,1
