ID,z_G235M,z_G235H,z_G395M,z_G395H,z_OII_G235M,z_OII_G235M_err,z_OII_G235M_snr,z_OII_G235H,z_OII_G235H_err,z_OII_G235H_snr
15479,,,,5.1078,,,,,,
15748,5.5206,,5.5197,,5.522948291690435,0.0012085368663898738,5.576618894371789,,,
16853,5.8612,,5.8589,,5.8610126888300575,0.3672850792917175,1.2389730659670802e-05,,,
16871,,3.0803,,3.0812,,,,,,
17058,3.2684,3.2678,3.2684,3.2679,,,,,,
17074,,,,5.5034,,,,,,
17086,5.5045,,5.5028,,5.50353921394163,0.0011156336672007768,9.275906839040502,,,
17416,,5.878,,5.8514,,,,,,
17578,3.0937,3.0931,3.0926,,,,,,,
17806,,2.9569,,,,,,,,
17891,3.0937,3.0925,3.0931,,,,,,,
18444,,4.8672,,4.8633,,,,4.867287510006305,0.00042758895446791823,0.04454016402456015
18502,,3.3744,,,,,,,,
18866,3.2468,,3.2468,,,,,,,
19650,3.1763,,3.1769,,,,,,,
19819,3.084,3.0834,3.084,,,,,,,
19928,,5.3675,,5.3653,,,,,,
23341,3.1832,3.1829,3.1832,,,,,,,
23887,3.2598,3.2603,3.2592,,,,,,,
26580,3.0045,3.0042,3.0045,,,,,,,
26999,,3.2988,,,,,,,,
27014,5.7331,,5.7322,,5.731767925452981,0.002434984050469973,49.94617699620745,,,
28600,3.4865,,3.4859,,3.4884288202414817,0.015188839358106488,3.332061111717938,,,
29701,,3.4886,3.4878,,,,,,,
33361,3.4883,3.4882,3.4877,,3.4890873927282,0.0011542565245872144,30.36363454309086,,,
35799,,3.1843,,3.1943,,,,,,
38195,,3.181,,,,,,,,
41512,,2.9617,,,,,,,,
42751,,3.1834,,3.1837,,,,,,
42812,2.9904,,,,,,,,,
42990,3.5202,,3.5196,,3.5188438945541067,,4.706363306325631e-11,,,
43129,3.5202,,3.5196,,3.5188438945541067,,4.706363306325631e-11,,,
43604,3.0017,3.0,3.0025,,,,,,,
43683,3.5249,,,,3.5250819663519506,0.001021211552622029,19.04704727286408,,,
43713,3.0017,3.0,3.0025,,,,,,,
44361,5.1308,,,,,,,,,
44980,5.2528,5.2574,,5.2545,5.2554234989850555,0.0007475921790813597,5.232416832409832,5.2541785915144885,0.00031535322304366534,21.613538542650396
45004,5.2528,,,,5.2554234989850555,0.0007475921790813597,5.232416832409832,,,
45443,3.3301,,,,,,,,,
45547,,,,4.4805,,,,,,
45677,,3.7535,,3.7535,,,,3.754593491477835,0.0009731043525247907,7.443767252232514
45963,,5.5194,,5.5168,,,,5.5064453178261425,0.1686103665254344,1.249966774549925e-06
46008,,,,4.4088,,,,,,
46091,3.188,,,,,,,,,
46212,,3.3726,,,,,,,,
46887,,3.3249,,3.3108,,,,,,
46979,,3.4601,,,,,,,,
47137,,4.0384,,4.0387,,,,4.040225614411824,0.013475437193065848,2.2568783870089515
47218,,4.3907,,4.3904,,,,4.390247343919847,0.00042691608670046544,6.196038362426058
47283,,3.7543,,3.7543,,,,3.7550487822167744,0.0006467231865667144,4.884330733785084
47549,3.2311,3.2319,3.2316,3.2319,,,,,,
47664,3.5182,3.5179,3.5182,,3.5174245727793743,0.00020136835778291368,19.816883381563017,3.517445472814824,0.00010747725184699422,38.31846184295147
47736,2.9861,,2.9856,,,,,,,
47750,2.9869,2.9874,2.9875,,,,,,,
48086,,3.1601,,,,,,,,
48121,4.5155,4.5094,,,4.51485845571746,0.0008419844986471734,21.351150443340803,4.507863740655827,,1.919636526441308
48146,3.1552,,,,,,,,,
48256,,3.4833,,3.483,,,,,,
48525,3.9374,,,,3.9360533057265457,0.013755736888341011,15.156456417483776,,,
48586,,3.4584,,,,,,,,
48648,3.417,,,,3.417564402825379,0.0006445648857514073,19.20332526346093,,,
48688,,4.387,,4.3877,,,,4.384069113303312,30.870116591146573,2.9689722947309227
48744,,3.4562,,3.4562,,,,,,
49289,,3.756,,,,,,3.7549514846428584,0.007542331395081301,9.038969998512382
49296,,3.756,,,,,,3.7549514846428584,0.007542331395081301,9.038969998512382
49482,3.4182,,,,3.4195351816612103,0.010950203226013653,8.000664919871745,,,
49540,3.5651,,,,3.566204095437377,0.001761256299039912,2.5271925052385362,,,
49694,3.4182,,,,3.4195351816612103,0.010950203226013653,8.000664919871745,,,
49726,,3.1699,,,,,,,,
49902,2.9612,2.9606,2.9607,,,,,,,
49939,,3.7488,,,,,,3.7471121103894687,0.00044576816650849507,14.609230180580337
50654,3.4621,,,,3.461036715382334,0.0015513872748669196,10.43218560136393,,,
50751,3.1591,3.1588,,,,,,,,
50966,3.7145,3.7141,3.7138,,3.7165598528271957,0.0015639957986256032,2.4380095060843523,3.714391719379285,0.00022042468209120493,18.33921639688185
50970,,3.0646,,,,,,,,
51240,,3.7177,,3.7177,,,,3.7179155746760166,0.00037116668050770474,7.811139201438114
51579,,4.5219,,4.52,,,,4.519715723413485,0.001155759633376185,18.365758590802447
52096,,3.5402,,3.5399,,,,3.540441558682005,0.00048401075933446314,15.410324841546243
53792,,3.2975,,,,,,,,
53892,3.6317,3.631,,3.631,3.6322958230185867,0.0006673122165640193,26.116277957160737,,,
53947,3.5347,3.534,,3.534,3.5358395748862135,0.02212797829605139,2.033432460988205,,,
54193,3.5345,,,,3.536132891937715,0.0023933687514202076,10.774316160593116,,,
54521,3.4164,,,,3.4133491837846197,0.028721309763434382,2.499910078721163,,,
54619,3.5326,3.5334,3.5326,,3.5318277552110766,0.0011219036177812216,8.33565480337961,3.5325598875756103,0.000962914001923037,17.552565057913434
54969,5.8642,,5.8642,,5.865010364531076,0.0006333026539362024,14.749968140537309,,,
55418,3.8395,,,,3.8387985829119664,0.0023277558797296046,24.342741700834168,,,
56591,3.7526,,,,3.7530670031768905,0.00543593146184037,1.9392210045959253,,,
57111,3.7576,,,,3.7577511832782093,0.0006384202847429516,32.706023966554284,,,
57248,3.7214,,,,3.7240881729172495,0.0018931356805306587,11.701035284171034,,,
58782,,4.9323,,4.9299,,,,4.932738128866339,0.09096614424688136,3.779565583061925e-42
59457,2.9905,2.9907,2.9911,,,,,,,
59737,3.4173,,3.4161,,3.4172121306863508,0.0017400370395597576,6.256496796198018,,,
70850,3.1881,3.1872,3.1881,,,,,,,
71380,3.0398,3.0399,3.0409,3.038,,,,,,
