ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,dv_err_group
15479,150.13694119697945,2.251802222222222,5.108947826149207,z_sys,5.131036867319985,1084.0046659270274,3.328606253858984,0,1,ok,7426.464603814808,7453.317588494886,7451.061,64.58857419600375,19.014319078297284,2.9643965456034493,119.23604397203316,0.0003604123998321,7453.314428157418,1.263818953717585,True,500.0,500.0,7453.317588494886,0.6296990009574156,0.0005179851447822,25.41976853968932,15.32977992130017,29.68445359185304,19.24233235320872,78.86272910845506,0.56,0.18,0.0,1
15748,150.14803567927123,2.253240097777778,5.522639188529189,z_sys,5.523666456368369,47.215113642025976,3.614754666976647,0,0,skew_pinned,7929.376782319279,7930.625601013336,7932.061,232.28919843703764,63.72545253232906,4.021237561887574,152.02775174306333,7.998746453254448,7929.714667606459,3.2818222469365845,True,500.0,495.0,7930.625601013336,0.8667964898108362,0.000713019561074,32.771686527192095,2.321031524183608,32.853776421787465,57.07775235204725,55.7479401221492,0.6787878787878788,0.0161616161616161,0.0,1
16853,150.1270650425999,2.2572522866666667,5.862264361055884,z_sys,5.877810082158267,679.1475372348744,2.3710654510319307,0,0,skew_pinned,8342.248915804808,8361.147382577341,8364.061,139.96705435312805,43.53659114984032,6.415770635241643,230.08014951897732,7.999999999999999,8359.694014127317,5.236054442924983,True,500.0,500.0,8361.147382577341,2.233734340378414,0.0018374512329648,80.27292342624243,87.99230759443972,119.10662631100703,49.43896285706091,161.3392752564516,0.646,0.04,0.004,2
16871,150.11744338197752,2.2569375833333334,3.0814630796266487,z_sys,3.088829710772888,541.0952924049258,2.244913021279718,0,1,ok,4961.712222009728,4970.667614495277,4969.061,106.87433932429958,37.33701239698321,1.7904476119028914,107.99760821550292,1.2646377728397569,4970.134981336988,1.0000000000000002,True,500.0,500.0,4970.667614495277,0.6569380902923688,0.0005403917924209,39.69296807842739,5.398908655618506,40.05845640494362,40.19769269166487,184.73775235578856,0.56,0.512,0.0,1
17058,150.1247021987222,2.2579972033333333,3.268980072447333,z_sys,3.271568657758551,181.7854241581975,7.809311377701261,1,1,ok,5189.671004672049,5192.817870177338,5191.061,384.3138864030786,50.7793613828321,6.408001101072841,369.9480649869184,0.0051624833068812,5192.81105315489,2.7261272769353035,True,500.0,500.0,5192.817870177338,0.6132478058911467,0.0005044525289685,35.42557262795728,1.0284486126436128,35.4404980575545,53.45847959827422,63.82316216110732,0.45,0.0,0.0,1
17074,150.14937244937013,2.258442725555556,5.50545452128854,z_sys,5.507254754234423,82.96057685943664,5.190732675199884,1,1,ok,7908.48589789484,7910.674387080162,7905.061,552.7050144019935,83.48796783896464,19.20677514226736,727.8850010504656,3.967624399582072e-06,7910.65391077404,8.1884748181163,True,500.0,500.0,7910.674387080162,2.242580012609383,0.001844727609145,85.0110353513812,7.054833660722051,85.30326376812461,89.40365459273076,156.16013979955,0.522,0.0,0.002,1
17086,150.14558443125435,2.258416168888889,5.505161822211587,z_sys,5.5303742067941855,1161.920787312375,4.058620057731863,0,1,ok,7908.13007240796,7938.780011973487,7939.061,198.12268805483052,65.06802234668818,10.636220306523684,401.6565743349682,0.0002733525360298,7938.76867271943,4.534567697845062,True,500.0,500.0,7938.780011973487,1.9478189261954677,0.0016022595985715,73.84064478914854,2.3704240745173246,73.87868253542602,66.99057090210559,166.50164610350942,0.628,0.006,0.018,1
17416,150.10994726,2.258986276666666,5.854014796650496,z_sys,5.880430775737287,1155.4266420282397,3.293785017077626,0,1,ok,8332.220167844109,8364.333281140549,8364.061,305.60233498314943,65.02000727250957,9.00769750386462,322.85213718954355,5.133875485217182e-05,8364.323678051525,3.8402753004209855,True,500.0,500.0,8364.333281140549,1.473102796195444,0.0012117620704594,53.00209299106554,28.249929309198176,60.060639085912605,68.1437190361571,110.75264661593457,0.6,0.006,0.002,1
17578,150.09739694820968,2.26011549,3.094567955187736,z_sys,3.085786804555988,-642.9305266810219,3.386820178353989,0,0,dv_out_of_band;skew_pinned,4977.643426083076,4966.968444694578,4973.061,275.82255524297744,67.94715645883072,9.017921531022694,544.5207188428026,7.999999999990675,4964.925609408979,7.359728204604347,True,500.0,500.0,4966.968444694578,2.229159842699878,0.0018336882893382,134.25736866084955,10.025707357116438,134.63118452923828,90.18061638816609,380.98213081417,0.634,0.012,0.046,2
17806,150.13665302764898,2.2605307544444444,2.955918150968278,z_sys,2.967157408901649,851.7478454695855,3.379000638807499,0,1,ok,4809.091018587606,4822.754247279468,4822.061,168.31654706443646,46.2146716395734,6.02990929641237,374.8352298564429,0.0192260660569464,4822.70924795636,2.570747044387159,True,500.0,500.0,4822.754247279468,1.203553569202824,0.0009900331251102,75.02795880789061,1287520.789875639,1287520.7920616984,49.44551193667978,171.73299975628376,0.632,0.032,0.002,2
17891,150.09815698118564,2.2602663944444443,3.0928437799138218,z_sys,3.087207937834539,-412.8139359092596,4.310987003327139,0,0,dv_out_of_band;skew_pinned,4975.547397927836,4968.696073787315,4971.061,308.27531775647213,66.32333839474981,12.496994880199054,754.4515851299406,7.999999999999999,4965.865121885882,10.199078066512886,True,500.0,500.0,4968.696073787315,1.988283477682852,0.0016355454010404,119.80036432244148,50.31734455078284,129.93830249172836,71.48152536818532,232.821745762062,0.6,0.0,0.0,2
18444,150.12027360213534,2.2633166566666665,4.865695905931787,z_sys,4.869577358474317,198.37888240315783,3.834296701958064,0,1,ok,7130.750541964096,7135.469107376474,7135.061,176.5458668136468,47.29496129269643,10.35819977576466,435.1942290393961,9.627837671963536e-05,7135.45806451957,4.416038475830052,True,500.0,500.0,7135.469107376474,1.8231390019901657,0.0014996989330905,76.648779040271,27.45194019423176,81.4164869592883,53.454549974365534,174.88018021665772,0.57,0.008,0.008,1
18502,150.09363490210197,2.263806912222222,3.3744,z_dja,3.377579213804796,217.8822972401468,10.547205131145764,1,1,ok,5317.826848,5321.691722846076,5322.061,427.5190258515113,40.56099277756025,8.305726974512254,468.1430288831708,1.8756572680921435,5318.875111963553,5.238896241494345,True,500.0,500.0,5321.691722846076,0.6991941873612908,0.0005751513053388,39.41706829495361,,39.41706829495361,40.52930271354715,54.232205814469,0.204,0.0,0.0,1
18866,150.13633145152758,2.2647953511111107,3.2474744585663524,z_sys,3.253824563294128,448.1989293797205,2.3296545804316,0,1,ok,5163.527275045358,5171.246906859772,5172.061,188.93362908001703,87.6197626913916,8.902932000696637,516.4359048678141,2.202882960007819,5168.176423711017,5.875053642043434,True,500.0,500.0,5171.246906859772,2.7839668280258563,0.0022900678868655,161.63607044314554,1.4027282053067411,161.6421569848642,101.79432349292736,438.1683870734408,0.696,0.076,0.04,2
19819,150.11892789,2.268382813333333,3.084496294212153,z_sys,3.0869671381656865,181.35415698966068,2.238219475113376,0,1,ok,4965.399609984888,4968.403340853881,4968.061,125.02673807478712,45.11349399738395,4.072781083288646,245.75100593425728,8.902935033777029e-05,4968.398998869783,1.7363594405194829,True,500.0,500.0,4968.403340853881,2.1203738260533123,0.0017442018196166,128.020326886303,1.2005459875526194,128.02595598840145,59.94869388359107,277.8444705162482,0.63,0.12,0.006,2
23341,150.12872019037997,2.2812037944444445,3.1840106038551834,z_sys,3.180923314255687,-221.21027531287857,6.039034239058839,1,0,skew_pinned,5086.376170788632,5082.623045441212,5085.061,326.7532061123387,51.80375963749541,7.316728620703543,431.7092926797289,7.999999999999999,5080.965582427134,5.971346480447361,True,500.0,500.0,5082.623045441212,0.9442834051669592,0.0007767596511939,55.65633244143645,1.1130711248798455,55.66746148479139,51.08629889408608,97.65728245066374,0.552,0.0,0.0,1
26580,150.11948845996713,2.291802978888889,3.005279481392564,z_sys,3.0066752397126324,104.4715654653439,8.883438835011361,1,1,ok,4869.0981071444985,4870.794888661456,4871.061,629.3211177040303,68.99739707567399,7.114300368563818,438.058153747729,1.1298475979526288,4868.790995430957,3.834243554432128,True,500.0,500.0,4870.794888661456,0.6186078667961707,0.0005088616703514,38.087951576256245,1.0375065935762178,38.10207967036648,66.90550983287372,57.73488606347916,0.348,0.0,0.0,1
26999,150.09337527,2.2937405133333333,3.300137844392818,z_sys,3.30227190382262,148.7800961572597,13.23233341789166,1,1,ok,5227.548573293017,5230.142885320044,5231.061,576.8939250567604,40.9059806128843,5.97889521743582,342.841916844134,3.2663800971939017,5228.146283449988,4.36306605374575,True,500.0,500.0,5230.142885320044,0.4399770573421933,0.0003619214567622,25.23205698328566,1.1667735437060198,25.259019381402496,41.28766656165389,30.021898624324614,0.048,0.0,0.0,1
28600,150.1112496902858,2.29841707,3.487007543447717,z_sys,3.5022580817716973,1018.9410928550144,2.7719583025638777,0,0,skew_pinned,5454.720460343086,5473.260082267399,5476.061,120.49628391954734,41.37466109985054,5.3345179698135325,292.25752177007826,7.999999999999999,5472.051650645666,4.353619869649989,True,500.0,499.0,5473.260082267399,1.6141008302664996,0.0013277458769785,88.71128390234666,5.14269777060324,88.86022300198508,45.654828983698096,197.5993261684175,0.685370741482966,0.0400801603206412,0.0120240480961923,1
29701,150.10582531977326,2.3027749655555554,3.4899060755399622,z_sys,3.488587586008192,-88.03596576997654,22.136425663191662,1,1,ok,5458.244118851666,5456.64127068258,5458.061,545.8319846465378,23.349063983596537,5.94750877077604,326.87836408594046,3.4512521674450887,5454.684277906901,4.372074921752668,True,500.0,500.0,5456.64127068258,0.2486110375474022,0.000204505365393,13.654888350421816,1.438668143075792,13.730467650025128,24.00366251278108,17.770814356931517,0.0,0.0,0.0,1
33361,150.1186535995437,2.314427162222222,3.48937394450284,z_sys,3.4929003689254543,235.48839073681765,7.45416116550701,1,1,ok,5457.597223113768,5461.884191491607,5463.061,236.79496163801795,29.23066806938324,5.159939359959935,283.31164985339194,2.353926675945601,5460.103404338759,3.4738379630437017,True,500.0,500.0,5461.884191491607,0.5662506580288197,0.0004657930672212,31.104837838825357,1.190730626823709,31.127620795770397,27.8870457658444,45.17682668979561,0.27,0.0,0.0,1
35799,150.15708537876117,2.3227015644444444,3.1854478218927573,z_sys,3.185597675702607,10.733628492648622,6.942294940848331,1,1,ok,5088.123353640369,5088.305526421389,5088.061,812.0664594429539,99.89824566692332,18.925961579374416,1115.0918250120749,0.0092258409490283,5088.2451244163485,8.051587271906499,True,500.0,500.0,5088.305526421389,1.724363414445052,0.0014184469588334,101.59957032721994,23.494668127483543,104.28073705673692,107.81020334331951,190.52890623090116,0.472,0.0,0.032,2
38195,150.17782381,2.330552507777778,3.182307796631096,z_sys,3.18638194746773,292.0396472400027,3.580981185347554,0,0,skew_pinned,5084.306119130525,5089.258942078096,5093.061,210.62176519712787,51.69643852963341,5.960511943913843,351.2084494203909,7.999999999999999,5087.908703658148,4.864507604839452,True,500.0,500.0,5089.258942078096,1.2488190675944315,0.0010272681464496,73.63571923073492,21.29800240303964,76.65392392426827,58.386515112895474,182.4026453011417,0.636,0.01,0.004,1
41512,150.18109583900358,2.341806872222222,2.970282869536842,z_sys,2.968575979363814,-128.88572863017515,6.465591431622585,1,1,ok,4826.553776009853,4824.478760833208,4825.061,448.4533046941674,67.23575234633255,11.066863175845356,687.695063443164,2.284310349839269e-05,4824.466962471613,4.71816480172806,True,500.0,500.0,4824.478760833208,1.3708874369900137,0.0011276805687316,85.15013681590383,365.0646234854021,374.8636086902882,74.0403176225521,136.4363423351914,0.46,0.0,0.002,2
42751,150.13917181,2.345338637777778,3.184537811382972,z_sys,3.1859220745616152,99.17263973943416,32.317050450093795,1,1,ok,5087.017081163938,5088.699888382319,5091.061,1667.0875715339237,48.29683735076152,7.897788815102103,465.4746287504727,6.158581353393909,5086.630667712762,6.316651494319159,True,500.0,500.0,5088.699888382319,0.2232462393465513,0.0001836404940045,13.156539041470165,1.3135915651136942,13.221953045963616,48.106961435085566,16.251153323181523,0.082,0.0,0.0,1
42812,150.07946153679046,2.345420498888889,2.9904,z_dja,2.9960889737335816,427.40362346827953,3.05400755135056,0,0,narrow_fwhm;skew_pinned,4851.009568,4857.925482698704,4855.061,90.89466870216518,13302.544546686431,1.2253063265816309,75.6204652961004,7.999999997902102,4857.647913306356,1.0000000000000002,True,500.0,500.0,4857.925482698704,1.7870203345196576,0.0014699880185573,110.43788124345136,,110.43788124345136,41.98486503496329,308.61124018475147,0.668,0.608,0.004,2
42990,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.528352062821468,479.4272873883506,2.0551295140717163,0,0,skew_pinned,5496.192256430179,5504.981752210175,5507.061,100.18942518357504,62.75896943029782,3.726335915144773,202.9613864769445,7.999999999843157,5504.137623053887,3.04114639278853,True,500.0,500.0,5504.981752210175,1.1543481720919588,0.0009495571759539,62.96447790638736,7.945882451936664,63.46386787743036,37.866725556469945,170.6507549758927,0.648,0.128,0.006,1
43129,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.528352062821468,479.4272873883506,2.0551295140717163,0,0,skew_pinned,5496.192256430179,5504.981752210175,5507.061,100.18942518357504,62.75896943029782,3.726335915144773,202.9613864769445,7.999999999843157,5504.137623053887,3.04114639278853,True,500.0,500.0,5504.981752210175,1.0173492458624465,0.0008368630021818,55.49180538667054,7.945882451936664,56.05780510341189,40.10009957991836,176.4703404150065,0.632,0.108,0.01,1
43604,150.1036425266078,2.3485374544444446,3.0026473378211547,z_sys,3.0061898164466223,265.3264914214276,3.766799288729469,0,1,ok,4865.898289169043,4870.204774159665,4870.061,182.1296879508465,48.2610791920844,6.589621494199491,405.7551060076439,0.7589042253015055,4868.746679428064,3.2215032219200714,True,500.0,500.0,4870.204774159665,1.2362273830192358,0.001016910331767,76.16510329185981,11.723824956153118,77.06212449097282,56.42615251295953,183.60799338306376,0.604,0.024,0.0,1
43683,150.08969066,2.348563267777778,3.52606261544765,z_sys,3.5266623324650714,39.72340951349331,13.16987088522881,1,1,ok,5502.198539721245,5502.927597707813,5504.061,479.8102757582672,36.25108374659599,8.599467459282096,468.7369349213565,2.9496548821762185,5500.005002895139,6.11908725438935,True,500.0,500.0,5502.927597707813,0.6529935184211981,0.0005371470205081,35.578965486672004,3.5025878233809635,35.75095672233534,38.34277766975748,46.224372340569936,0.046,0.0,0.0,1
