ID,ra,dec,z_lya,lya_snr,fit_success,z_sys,z_sys_err,z_sys_snr,z_sys_line,delta_v_kms,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms
15479,150.13694119697945,2.251802222222222,5.132725636208071,3.328606253858984,True,5.108947826149207,0.0003123788581952,22.785650228085377,OIII,1166.879850060402,28.054401869293944,15.32977992130017,31.969542015476875
15748,150.14803567927123,2.253240097777778,5.5251075126478,3.614754666976647,True,5.522639188529189,5.049910620984212e-05,417.4944105975211,OIII,113.44870278284745,41.5728447505215,2.3210315241836077,41.63758648129376
16853,150.1270650425999,2.2572522866666667,5.879201250766566,2.3710654510319307,True,5.861827553626734,0.0003794495584648,20.20123891186292,Ha,759.054833335904,66.15080057227995,16.578107644085676,68.19649602004816
16871,150.11744338197752,2.2569375833333334,3.089970833594827,2.244913021279718,True,3.0814630796266487,7.350233723419313e-05,44.90138093214652,OIII,624.9132785032473,36.21107109464409,5.398908655618506,36.61133546448533
17058,150.1247021987222,2.2579972033333333,3.2727600663626264,7.809311377701261,True,3.268980072447333,1.4644886873410567e-05,518.2024841807757,OIII,265.4530234059382,35.92557999146518,1.0284486126436128,35.94029777661854
17074,150.14937244937013,2.258442725555556,5.50904494023914,5.190732675199884,True,5.50545452128854,0.0001530889063763,47.593130388649286,OIII,165.45815806227168,88.80453591308545,7.054833660722051,89.08432116101542
17086,150.14558443125435,2.258416168888889,5.532170448264174,4.058620057731863,True,5.505161822211587,5.143555743487495e-05,489.9656488212775,OIII,1244.7011485342475,82.88340952630826,2.3704240745173246,82.91729906960776
17416,150.10994726,2.258986276666666,5.88231613411741,3.293785017077626,True,,,,,,,,
17578,150.09739694820968,2.26011549,3.08630221075644,3.386820178353989,True,3.094567955187736,0.0001369311968233,19.53443336180146,OIII,-605.1939709825613,139.23082989335748,10.025707357116438,139.59132781374203
17806,150.13665302764898,2.2605307544444444,2.968264823477877,3.379000638807499,True,,,,,,,,
17891,150.09815698118564,2.2602663944444443,3.087531843080132,4.310987003327139,True,3.092675821890733,9.680989482906022e-05,22.3147335552176,Ha,-376.8014176157087,137.93204923259512,7.091418326926629,138.1142223646447
18444,150.12027360213534,2.2633166566666665,4.871177961638738,3.834296701958064,True,4.863015408142131,0.0001252936093198,16.558706824627865,Ha,417.3743041688166,89.81025730733741,6.406614428730829,90.03847525390785
18502,150.09363490210197,2.263806912222222,3.378797128378751,10.547205131145764,True,3.3746310569744367,1.3498735852590638e-05,278.750063931174,Ha,285.499913075331,43.05303181735699,0.9250652565749662,43.0629689454324
18866,150.13633145152758,2.2647953511111107,3.2550090705537054,2.3296545804316,True,3.2474744585663524,1.987392299358979e-05,1737.058700040688,OIII,531.8030443265392,178.82582579134964,1.4027282053067411,178.83132727902037
19819,150.11892789,2.268382813333333,3.088105185597499,2.238219475113376,True,3.084496294212153,1.6356734488597256e-05,638.6279826493767,OIII,264.8841720338823,68.08892335678553,1.2005459875526194,68.0995065661598
23341,150.12872019037997,2.2812037944444445,3.1815809193767777,6.039034239058839,True,3.1840106038551834,1.553441811182018e-05,1028.3351194754057,OIII,-174.09159557926353,67.5416270860029,1.1130711248798455,67.5507980467568
26580,150.11948845996713,2.291802978888889,3.0077944594538533,8.883438835011361,True,3.005279481392564,1.3861268888426536e-05,754.6525526772442,OIII,188.2444054934931,42.66285131276399,1.0375065935762178,42.67546487229779
26999,150.09337527,2.2937405133333333,3.3034696908894725,13.23233341789166,True,3.300137844392818,1.673586822229722e-05,288.64708853985803,OIII,232.28614687623377,24.274635582409328,1.1667735437060198,24.302660207497148
28600,150.1112496902858,2.29841707,3.503229142388978,2.7719583025638777,True,3.487007543447717,7.697099468182251e-05,152.10680006251195,OIII,1083.8210036870614,97.29590066264485,5.14269777060324,97.43171776231303
29701,150.10582531977326,2.3027749655555554,3.4898350453106355,22.136425663191662,True,3.4899060755399622,2.15465221486052e-05,627.020488512274,OIII,-4.7427110242188535,13.24144662580956,1.438668143075792,13.31937216125687
33361,150.1186535995437,2.314427162222222,3.4941490109940423,7.45416116550701,True,3.48937394450284,1.7831119190409698e-05,421.7183045450155,OIII,318.8705013677584,34.61039469859753,1.190730626823709,34.630871496662685
35799,150.15708537876117,2.3227015644444444,3.186749540122716,6.942294940848331,True,3.1854478218927573,0.0003280126131134,16.433468526111554,OIII,93.23860298568742,103.31580592883029,23.494668127483546,105.95355201759078
38195,150.17782381,2.330552507777778,3.187040591587282,3.580981185347554,True,3.182307796631096,0.0002971215556827,13.582940737941282,OIII,339.25198768677313,83.2269602562218,21.29800240303964,85.90885763325342
41512,150.18109583900358,2.341806872222222,2.9696831472069185,6.465591431622585,True,2.961675443741489,0.0001178754292266,58.795373633356405,Ha,605.9681412390064,81.91435895342622,8.920004974530007,82.39859641702884
42751,150.13917181,2.345338637777778,3.187088892209802,32.317050450093795,True,3.184537811382972,1.833526303364173e-05,320.21268993946256,OIII,182.76684931646082,15.267021715598599,1.3135915651136942,15.32342895257119
42812,150.07946153679046,2.345420498888889,2.997092703967452,3.05400755135056,True,2.9907673724368067,0.0001506410269415,31.56618383619059,Ha,475.1684351070627,86.2398851975328,11.316380918204379,86.97918300357584
42990,150.11015839,2.3465862566666664,3.529367684151726,2.0551295140717163,True,3.521121896921187,0.0001198305767379,56.78423482865562,OIII,546.772433557193,72.1819900942533,7.945882451936664,72.61801940225908
43129,150.11015839,2.3465862566666664,3.529367684151726,2.0551295140717163,True,3.521121896921187,0.0001198305767379,56.78423482865562,OIII,546.772433557193,78.92704673895288,7.945882451936664,79.3260093214883
43604,150.1036425266078,2.3485374544444446,3.0073056238007423,3.766799288729469,True,3.0026473378211547,0.0001565294105892,48.2076752843826,OIII,348.8988376996776,91.203799445217,11.723824956153118,91.95423375161083
43683,150.08969066,2.348563267777778,3.527919985348918,13.16987088522881,True,3.52606261544765,5.2879688536816815e-05,138.18765234199736,OIII,123.02646592112212,39.11692375337412,3.5025878233809635,39.27342416173793
43713,150.1036425266078,2.3485374544444446,3.0073056238007423,3.766799288729469,True,3.0026473378211547,0.0001565294105892,48.2076752843826,OIII,348.8988376996776,83.4208750283888,11.723824956153118,84.24066988162299
44361,150.07672123,2.350948707777778,5.13280907709713,15.347033798550598,True,5.132260396411653,9.481866492858844e-05,51.55502046363567,OIII,26.823768190364838,9.315575301667755,4.635471879154642,10.405169039639661
44980,150.07847712879428,2.352441203333333,5.258310375201202,6.142586581025192,True,5.256126889924292,0.000161015077691,61.96920452823488,OIII,104.63221569660193,49.56712245484405,7.715813116544701,50.16406483233739
45004,150.07851878758936,2.352448581111111,5.258454270835219,5.957940172988147,True,5.254917580157724,0.0001244015258365,52.08147307779337,OIII,169.51033771494767,62.63383087139986,5.962450940646034,62.91698968360401
45443,150.1217307550671,2.3536541466666665,3.33134777104721,4.705459261184913,True,3.3314385002049782,5.8227065853986696e-05,89.4842526744704,OIII,-6.279649871117343,78.04379551789987,4.030078043049315,78.14778018519038
45547,150.14623671,2.3543245244444444,4.483820636866796,15.534694532601272,True,4.480683587300725,0.0001542204175311,21.295641810600745,Ha,171.59607652946713,24.96442525669954,8.43583055087575,26.3512004561543
45677,150.1413637674817,2.35503687,3.757792108726655,5.246657225870278,True,3.754906389376436,2.0365067741070243e-05,306.9002933816503,OIII,181.94194086200747,36.4589909046618,1.2839987195273914,36.481593584956784
45963,150.0888703774479,2.355855602222222,5.548408236300703,3.3959374028523097,True,5.518194894913958,0.0001027554687987,92.65278554946494,OIII,1389.607402778468,97.90888690782586,4.726049935717858,98.02288346873057
46008,150.12406824617432,2.355897825555556,4.41839537888478,3.644271243822777,True,,,,,,,,
46091,150.11776606746682,2.35541026,3.203567745737697,4.097456047535478,True,3.1888448013842874,0.0001784968033316,40.90054854768093,OIII,1053.7100050226845,84.88134741236522,12.774881370214251,85.83729220194266
46212,150.15076755129388,2.35677657,3.3748053979515547,33.515138613622895,True,3.37388307430417,3.873109752127111e-05,232.5293560553121,OIII,63.2174359999151,14.048624514605223,2.654687089180312,14.297244989641447
46887,150.0864819,2.359282,3.327995416688042,34.584149361955085,True,3.324865792972356,0.0001536446454217,21.318469565956377,Ha,216.94027774574857,8.115644133243928,10.650389657028674,13.390088854970303
46979,150.16880099133834,2.3589189966666666,3.4640094882707864,23.50417053810447,True,3.4614588551795977,2.9228237109280546e-05,238.30312786257272,OIII,171.39249485083457,13.27208194298536,1.964022381563641,13.41661443944041
47137,150.13685254,2.35927325,4.042687855528563,61.37322038770971,True,4.038853297088122,8.340285377007043e-05,33.628279381601295,Ha,228.1415299129154,5.896037770261225,4.96215012856063,7.706243915599949
47218,150.12884485728088,2.360174831111111,4.404559956540286,3.4520984384402054,True,4.391688730551099,7.29197288527793e-05,42.42474059412324,OIII,715.6749340716194,71.39860534109138,4.054533902448367,71.51363569151708
47283,150.1349070586344,2.36036375,3.756365784165092,27.649845111477184,True,3.7556398181133535,5.426709278322896e-05,110.785938755298,OIII,45.764430318366436,8.02157342943117,3.4209624269763172,8.720586230898691
47549,150.09679965725107,2.360891763333333,3.2307151273354773,2.7363052335471068,True,3.231870179898798,7.916418236246229e-05,77.94877812445543,OIII,-81.82577261511477,84.46627858707838,5.608117406042538,84.65224863634688
47664,150.13168715,2.361749794444445,3.521319951255734,7.114734180237074,True,3.519489986483696,5.6957250207090605e-05,724.9760775798526,OIII,121.3875102507792,39.69557702735318,3.778159502857944,39.87497115689948
47736,150.1378752941347,2.3609134666666667,2.990010606430137,1.2323928692941233,True,2.9871504317981623,4.0646964489429305e-05,205.5824530434745,OIII,215.05553850955377,209.7026582232587,3.0562311613181663,209.72492797665294
47750,150.12949332,2.3617853133333333,2.993856234341067,3.676747004644051,True,2.988601484137201,1.210815772871726e-05,786.549843061541,OIII,394.9591068594216,110.16700890576466,0.9100769735407793,110.17076786217204
48086,150.08945162,2.3625202788888893,3.2167427817753573,2.5776604371298752,True,3.15968134676155,0.0001501390488859,14.625530300848329,Ha,4112.475556117917,148.27901476488933,10.820673689903755,148.67331031072672
48121,150.0803971571723,2.36277555,4.51387541147458,2.8176163580689297,True,4.517360727949767,0.0001488860668692,48.76769002424152,OIII,-189.37887959927704,27.67925620643419,8.08990424036603,28.837263648961525
48146,150.07960361563778,2.3626120255555554,3.148599411491359,3.510288148845932,True,3.155380571338563,0.0004341416801085,13.401198333331568,OIII,-489.23090046343094,112.95717003850831,31.321415491445883,117.2192532457713
48256,150.12647973569204,2.3631503266666667,3.482612225629505,3.021882429264516,True,3.4844627131972983,3.479354846268039e-05,113.3761854840682,OIII,-123.70762160974436,181.60482101685767,2.325996241527934,181.61971609679526
48525,150.08151033,2.363789453333333,3.9492402985734447,8.643515012449717,True,3.93883538677916,9.49263103837864e-05,100.4817157089094,OIII,631.5889957442141,56.39760919164674,5.76212602570363,56.6912023057353
48586,150.17813124,2.3638930733333336,3.474304173457278,3.709787012743332,True,3.4596043884078185,6.598362804173489e-05,78.7754987579076,OIII,988.1783916762315,41.36412120894116,4.435683597811653,41.60127176382798
48648,150.0783225,2.36476518,3.425127646394019,3.2680526920188497,True,3.418467433947656,8.030341673561968e-05,237.91029179923552,OIII,451.89457429436857,66.96395330602067,5.448576695168861,67.18525158376691
48688,150.127787618539,2.3651850855555554,4.390417856145141,10.6086511999784,True,4.388786720901873,6.251263479347733e-05,67.69300376426644,OIII,90.74436774663418,19.03515763064721,3.477743212233942,19.350243509419357
48744,150.178434128542,2.364869268888889,3.4652884969019766,3.336748447515665,True,3.4573448216184914,4.0351298783084896e-05,131.9836035140444,OIII,534.2763537699877,41.98827799214636,2.7139509124360104,42.07589592986553
49289,150.13005719849852,2.3672327033333334,3.757125785714312,10.125691689795202,True,3.7572416830020936,2.545421646777606e-05,243.9711163689406,OIII,-7.303629938267526,38.00459608143639,1.6040770324124196,38.03843301766048
49296,150.13005719849852,2.3672327033333334,3.757125785714312,10.125691689795202,True,3.7572416830020936,2.545421646777606e-05,243.9711163689406,OIII,-7.303629938267526,40.247024666627155,1.6040770324124196,40.27897786242853
49482,150.07954806302885,2.367766382222222,3.4219857212081006,12.481498110434394,True,3.4199192904280213,0.0001091955797798,113.27028314380505,OIII,140.1610124846499,26.6981514116523,7.406472633067291,27.706445561707955
49540,150.11122932302013,2.3675214544444447,3.5672144191726884,11.427374662205755,True,3.5648687486500403,0.0001034689222739,27.55475751526153,Ha,154.04918966197718,31.949644509138498,6.795201405139343,32.66427018007185
49694,150.07954806302885,2.367766382222222,3.4219857212081006,12.481498110434394,True,3.4199192904280213,0.0001091955797798,113.27028314380505,OIII,140.1610124846499,26.694372134797792,7.406472633067291,27.702803838879625
49726,150.17380696303826,2.3679732244444445,3.1755919170604496,30.55899995568666,True,3.1711728991265264,7.590172737385874e-05,44.808907072430856,OIII,317.60569038850764,16.413448509333968,5.455243876517324,17.296270630423116
49902,150.14021900153563,2.3688509,2.962860636001363,31.3322952526851,True,2.9618321363582,2.074018741653523e-05,351.9618689446096,OIII,77.82672901417179,7.183828010121782,1.5694132287743152,7.353260689086311
49939,150.15172124458957,2.368674411111111,3.753923592937952,3.2232118151009748,True,3.750372266997093,0.000196438673155,15.62765446040448,OIII,224.1215368248,112.17056589582525,12.39709845069119,112.85355069020117
50654,150.11921915524886,2.3711898644444447,3.4602671921635686,4.258685466026151,True,3.463694344321006,0.0002339035337104,31.012316594592622,OIII,-230.175789371732,105.19748357056056,15.709524420089599,106.36399629143195
50751,150.13823243,2.371613331111111,3.1766800362480483,2.8175879196791813,True,3.159992468663634,4.534184821596724e-05,98.92988167647157,OIII,1202.5999907109892,28.887303799350512,3.2675886385184802,29.071523116385656
50966,150.13745461840568,2.37177286,3.719411548971199,6.153353232639944,True,3.715756172445461,4.681425092102902e-05,176.58521429499203,OIII,232.38146195296486,26.518445344848562,2.9760994504018465,26.684922923748584
50970,150.18688489679192,2.372284317777778,3.065531346918153,13.131078957546372,True,3.0655103966160846,9.134226415702104e-05,40.233538663907474,OIII,1.544884144957435,34.94903579221365,6.735617233622473,35.5921851299313
51240,150.11922476516514,2.372717273333333,3.736606864326755,3.022674228561452,True,3.7190006042280377,8.57677311989299e-05,95.71856475812709,OIII,1118.5046228756044,61.000502072586684,5.448721267416894,61.24336549013006
51579,150.10867511,2.374358382222222,4.5266030332854506,29.051020322992983,True,4.522096513814507,3.283737188762243e-05,156.67946093020075,OIII,244.65717791046526,10.000215164081432,1.782728064933838,10.157874909715465
53947,150.10068138211412,2.3974694822222222,3.5428816774563616,7.263444466943501,True,3.5359099966434178,0.000120503908734,115.22642633959792,OIII,460.7801585239839,70.81915522971136,7.964479679867315,71.26559958367692
54193,150.10128602629246,2.3967334955555555,3.531901508059284,2.8948339194197032,True,3.5357192266194497,5.647029245177305e-05,252.2094585244984,OIII,-252.33555560213784,18.093635893279735,3.7324549718024853,18.47460094170139
54521,150.09351762170343,2.39552825,3.412888747100676,3.55936494238502,True,3.417666420185612,0.0002080163662328,23.062243147224823,OIII,-324.2232937980044,132.41642244788005,14.116443344886852,133.16674850203722
55418,150.10087948198074,2.391999638888889,,0.0,False,,,,,,,,
56591,150.1178659856953,2.386745448888889,3.755203454403476,1.7086126887767212,True,3.753380821677738,0.0003308900440701,14.252713575133884,OIII,114.9521920037214,277.0213269601071,20.86900742038398,277.8062833368796
57111,150.11467345618294,2.387244618888889,3.772000625376045,2.8417049290031065,True,3.7588987311907305,0.0001219470908592,171.44678186306024,OIII,825.3693310444842,264.21787037511643,7.682201320027136,264.3295277540579
57248,150.10668204367022,2.383779145555556,3.729909806826085,6.86727961610662,True,3.723101296811256,0.0001568884768721,71.19107236177045,OIII,432.1609519663223,51.72221460958386,9.95828358479574,52.672145352881365
58782,150.18005219827413,2.37831,4.934361370901964,27.595624946948146,True,,,,,,,,
59457,150.13188632330443,2.375784785555556,2.9965036326547807,3.051642813532254,True,2.9917631655753545,2.323069945714744e-05,306.95217595586644,OIII,356.02219341698515,20.001179153693954,1.7446898030869729,20.077129029001064
59737,150.08672731,2.3749150944444444,3.425630283349577,15.036421771244465,True,3.417202915782912,3.231823318023311e-05,175.5878759644605,Ha,571.9595149801426,15.204355733281322,2.193415776463597,15.361754653443857
