ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
15479,150.13694119697945,2.251802222222222,5.108947826149207,z_sys,5.131035264471063,1083.9260072067675,3.328606253858984,0,1,ok,7426.464603814808,7453.315639959537,7451.061,64.5850617931348,17.052070844409783,2.9709550683137422,119.49987673302735,0.0023672337150232588,7453.3124793690395,1.2639201402326585,True
15748,150.14803567927123,2.253240097777778,5.522639188529189,z_sys,5.522854312359136,9.88748570787334,3.614754666976647,0,1,ok,7929.376782319279,7929.638301905631,7932.061,246.94945158549885,277.906352992606,4.349115253783566,164.43301532861054,29.8692638858277,7929.258911000514,3.700449340400587,True
16853,150.1270650425999,2.2572522866666667,5.862264361055884,z_sys,5.876915058481902,640.0465446487634,2.3710654510319307,0,1,ok,8342.248915804808,8360.059329144695,8364.061,147.33436374767038,174.23981983655779,6.939556304339931,248.8710402122575,29.47098327436783,8359.456528703004,5.879509673950929,True
16871,150.11744338197752,2.2569375833333334,3.0814630796266487,z_sys,3.088829789696417,541.1010895120672,2.244913021279718,0,1,ok,4961.712222009728,4970.667710440243,4969.061,106.88125204345009,37.341999732958875,1.7904476119028914,107.99760613068493,1.263474449557697,4970.135077281954,1.0000000000000002,True
17058,150.1247021987222,2.2579972033333333,3.268980072447333,z_sys,3.2715738744145098,182.15176789508,7.809311377701261,1,1,ok,5189.671004672049,5192.8242119094875,5191.061,384.31442420640735,50.64945329067694,6.407973442785078,369.9460164133434,0.002245232744608157,5192.817394916463,2.7261155103932815,True
17074,150.14937244937013,2.2584427255555557,5.50545452128854,z_sys,5.507254763781338,82.96101681227655,5.190732675199884,1,1,ok,7908.48589789484,7910.67439868606,7905.061,552.7048640694811,83.37948102614087,19.20674574352961,727.883885846778,4.443381743088988e-06,7910.65392241128,8.188462284475024,True
17086,150.14558443125435,2.258416168888889,5.505161822211587,z_sys,5.5303711945365395,1161.7819664577216,4.058620057731863,0,1,ok,7908.13007240796,7938.776350062236,7939.061,198.10457226588784,60.246524070486515,10.659144181046031,402.5224364201135,0.0013527318876804422,7938.765010547149,4.534672082979105,True
17416,150.10994726,2.2589862766666666,5.854014796650496,z_sys,5.880426742032985,1155.2502090669086,3.293785017077626,0,1,ok,8332.220167844109,8364.32837748724,8364.061,305.59995541834076,62.909208545585145,9.029035257613941,323.61934042290983,0.02046784556752933,8364.26113999064,3.841182127149147,True
17578,150.09739694820968,2.26011549,3.094567955187736,z_sys,3.0847615427178505,-717.99724187849,3.386820178353989,0,0,dv_out_of_band;skew_pinned,4977.643426083076,4965.72206463581,4973.061,273.2458737476491,389.1624972774616,8.890134601467253,536.8024169931672,29.999999965980447,4964.946542255682,7.564180483248569,True
17806,150.13665302764898,2.2605307544444444,2.955918150968278,z_sys,2.967156625264065,851.6884588421486,3.379000638807499,0,1,ok,4809.091018587606,4822.7532946347665,4822.061,168.32251316200887,46.211649071413156,6.041456910036686,375.5511317714419,0.007117882340718967,4822.7340133893085,2.5701900194935945,True
17891,150.09815698118564,2.2602663944444443,3.0928437799138218,z_sys,3.0860108066263914,-500.5013549112851,4.310987003327139,0,0,dv_out_of_band,4975.547397927836,4967.240757291505,4971.061,309.14158365142305,68.23187647967845,12.59280802774083,760.2335941495495,23.040232694672632,4965.880093712237,10.669203242147399,True
18444,150.12027360213534,2.2633166566666665,4.865695905931787,z_sys,4.86956250460077,197.6197091809284,3.8342967019580634,0,1,ok,7130.750541964096,7135.451049968019,7135.061,176.5465178959495,47.32112159776767,10.380757794818237,436.1444459386643,0.011488441932357648,7135.41791988995,4.416239406540104,True
18502,150.09363490210197,2.263806912222222,3.3744,z_dja,3.377579268717672,217.88606060565505,10.547205131145764,1,1,ok,5317.826848,5321.691789602013,5322.061,427.5107081467759,40.56013414015851,8.305399663771823,468.12456473433497,1.8756579997331144,5318.875289716034,5.238689787921409,True
18866,150.13633145152758,2.2647953511111107,3.2474744585663524,z_sys,3.2538286207966918,448.48531336599666,2.3296545804316,0,1,ok,5163.527275045358,5171.251839443915,5172.061,188.90642513990286,87.56670201495675,8.906395448119838,516.6354266933644,2.1890902213414813,5168.190266008623,5.8580058218801785,True
19819,150.11892789,2.2683828133333335,3.084496294212153,z_sys,3.0869657888896285,181.2551232883645,2.238219475113376,0,1,ok,4965.399609984888,4968.401700579455,4968.061,125.04557681177484,43.68234842425976,4.081533710473195,246.27921946978543,0.0012361947812346468,4968.397358522316,1.7363886498065222,True
23341,150.12872019037997,2.2812037944444445,3.1840106038551834,z_sys,3.180124559357867,-278.4426097473216,6.039034239058839,1,0,skew_pinned,5086.3761707886315,5081.652023074578,5085.061,327.04831459133777,339.2048080319083,7.642310150435151,450.91784081498145,29.99999999999964,5080.98535346571,6.502467721614636,True
26580,150.11948845996713,2.291802978888889,3.005279481392564,z_sys,3.006675301598042,104.4761975463685,8.883438835011361,1,1,ok,4869.0981071444985,4870.7949638936925,4871.061,629.3207824031978,68.9973294173652,7.1141297657541145,438.04763790490324,1.1297472052901134,4868.791118717085,3.8341516082549614,True
26999,150.09337527,2.2937405133333333,3.300137844392818,z_sys,3.302271901927228,148.7799640163686,13.23233341789166,1,1,ok,5227.548573293017,5230.142883015874,5231.061,576.8890691779941,40.90581313563889,5.978801964188278,342.836567623751,3.2662374670584735,5228.146312286957,4.362998002698913,True
28600,150.1112496902858,2.29841707,3.487007543447717,z_sys,3.5018549360737046,992.0055375738893,2.7719583025638777,0,0,skew_pinned,5454.720460343086,5472.7699901367205,5476.061,113.22208098474472,296.18790511428523,5.151975878256053,282.2428793181927,29.99595425950463,5472.320562453724,4.383564156840134,True
29701,150.10582531977326,2.3027749655555554,3.4899060755399622,z_sys,3.488587577324563,-88.03654557864438,22.136425663191662,1,1,ok,5458.244118851666,5456.641260126152,5458.061,545.8310315283117,23.349028881596983,5.947512725179877,326.8785821327387,3.451327808850805,5454.6842660493,4.37207782867568,True
33361,150.1186535995437,2.314427162222222,3.48937394450284,z_sys,3.4929003948557122,235.49012231361675,7.45416116550701,1,1,ok,5457.5972231137675,5461.884223014244,5463.061,236.79896347117437,29.23091809704447,5.159932481188662,283.31127040873855,2.353739711398927,5460.103438235382,3.473833332032526,True
35799,150.15708537876117,2.3227015644444444,3.1854478218927573,z_sys,3.185584196815065,9.768171748398412,6.942294940848331,1,1,ok,5088.123353640369,5088.289140542171,5088.061,812.0685829045564,99.89871239083783,18.926417880898043,1115.122301067146,0.011773867463186717,5088.228737080849,8.051781394224381,True
38195,150.17782381,2.330552507777778,3.182307796631096,z_sys,3.185873698682233,255.6078110173293,3.580981185347554,0,1,ok,5084.306119130525,5088.64107927703,5093.061,214.86129136078398,157.2867237569358,6.011052936978558,354.19788569085057,14.862440969538746,5087.744472641472,5.050042162810509,True
41512,150.18109583900358,2.341806872222222,2.970282869536842,z_sys,2.9685749190518353,-128.96579182586555,6.465591431622585,1,1,ok,4826.553776009853,4824.477471843745,4825.061,448.48038857749395,70.04689056757046,11.068232733865443,687.7803517691615,0.00039470677455523493,4824.465672022066,4.718748688990009,True
42751,150.13917181,2.345338637777778,3.184537811382972,z_sys,3.185922080221691,99.17304524373644,32.317050450093795,1,1,ok,5087.017081163938,5088.699895263104,5091.061,1667.082641920152,48.296670344756905,7.897808575299678,465.47579320796876,6.159077766245861,5086.630669416375,6.316667298524552,True
42812,150.07946153679046,2.345420498888889,2.9904,z_dja,2.9958949929560363,412.83015361436685,3.05400755135056,0,0,narrow_fwhm;skew_pinned,4851.009568,4857.689666086865,4855.061,98.99571715867002,17612.724600308495,1.1752938234558314,72.53482315769743,29.99999999997266,4857.587140455457,1.0000000000000002,True
42990,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.52810933307887,463.3320464675716,2.0551295140717163,0,1,ok,5496.192256430179,5504.68667294399,5507.061,102.91323039378614,220.31079546893744,3.727720636279628,203.04033189369483,12.007643941030986,5504.0420879173,3.1056572551005885,True
43129,150.11015839,2.3465862566666664,3.521121896921187,z_sys,3.52810933307887,463.3320464675716,2.0551295140717163,0,1,ok,5496.192256430179,5504.68667294399,5507.061,102.91323039378614,220.31079546893744,3.727720636279628,203.04033189369483,12.007643941030986,5504.0420879173,3.1056572551005885,True
43604,150.10364252660779,2.3485374544444446,3.0026473378211547,z_sys,3.006189496730377,265.30254514012796,3.766799288729469,0,1,ok,4865.898289169043,4870.204385490218,4870.061,182.14326232668256,48.26076867609759,6.590336675417348,405.7991887846848,0.7593955567615833,4868.746132509471,3.221852856356105,True
43683,150.08969066,2.348563267777778,3.52606261544765,z_sys,3.526662333972446,39.72350935735224,13.16987088522881,1,1,ok,5502.198539721245,5502.927599540284,5504.061,479.8104889280646,36.25110032465998,8.599477234734877,468.73746788547874,2.949658398429843,5500.005001405348,6.119094210268129,True
43713,150.10364252660779,2.3485374544444446,3.0026473378211547,z_sys,3.006189496730377,265.30254514012796,3.766799288729469,0,1,ok,4865.898289169043,4870.204385490218,4870.061,182.14326232668256,48.26076867609759,6.590336675417348,405.7991887846848,0.7593955567615833,4868.746132509471,3.221852856356105,True
44361,150.07672123,2.350948707777778,5.132260396411653,z_sys,5.131120427638053,-55.73051674075012,15.347033798550598,1,1,ok,7454.804996105755,7453.419170266752,7455.061,398.73825084124474,23.954678527253588,4.422223001611201,177.89965103849823,5.875768928174637,7452.229927029267,3.522802745705435,True
44980,150.07847712879428,2.3524412033333335,5.256126889924292,z_sys,5.256085904571484,-1.9640106213285657,6.142586581025192,1,1,ok,7605.385776274264,7605.3359516104165,7610.061,431.9807630596301,255.02190863785162,8.859872669221659,349.28015994310033,29.921461395962396,7604.563069100974,7.5384320860036365,True
45004,150.07851878758936,2.352448581111111,5.254917580157724,z_sys,,,5.957940172988147,1,0,fit_failed,7603.915654670342,,7610.061,,,,,,,,False
45443,150.1217307550671,2.3536541466666665,3.3314385002049782,z_sys,3.3301426117869477,-89.69250610777843,4.705459261184913,0,1,ok,5265.599841544186,5264.024468871039,5266.061,203.13693671835392,40.52012351327372,7.8278377185915815,445.9671107371334,7.0423692130022255,5262.107124004744,6.336745553977755,True
45547,150.14623671,2.3543245244444444,4.4805,z_dja,4.482306875633922,98.83910000798979,15.534694532601272,1,1,ok,6662.479435,6664.67599950189,6667.061,604.4599474959683,36.8831154134322,8.444787792458555,380.0074355757358,4.824892127279574,6662.195137718502,6.570176338918513,True
45677,150.1413637674817,2.35503687,3.754906389376436,z_sys,3.756453113406425,97.51952211595781,5.246657225870278,1,1,ok,5780.397050373253,5782.277356374789,5785.061,147.6883254709192,135.1653268566887,4.5899142825992385,237.99965857537418,15.284180906995223,5781.612011657353,3.8561065580074887,True
45963,150.0888703774479,2.355855602222222,5.518194894913958,z_sys,5.546593311683131,1306.1332629347842,3.3959374028523097,0,0,dv_out_of_band,7923.973987900052,7958.497091213832,7955.061,107.25234856721137,39.420298760567405,11.930482154888523,449.41579211910164,0.004918055181564643,7958.48439921154,5.0755317167444405,True
46008,150.12406824617432,2.3558978255555556,4.4088,z_dja,4.41683495845372,445.3520087206794,3.644271243822777,0,1,ok,6575.315896000001,6585.083753943433,6587.061,83.65444567073679,172.95859799141232,4.231195551003111,192.64011892934403,29.52334067664896,6584.716213651926,3.584862501793076,True
46091,150.11776606746682,2.35541026,3.1888448013842874,z_sys,3.2023965497287046,969.8883914313693,4.097456047535478,0,1,ok,5092.252959698837,5108.727413608694,5109.061,183.97462168242515,45.45163456010732,7.170189406487225,420.9476996022755,1.3838700378004376,5106.498285956534,4.107963816123353,True
46212,150.15076755129388,2.35677657,3.37388307430417,z_sys,3.3735885956804568,-20.184003305924133,33.515138613622895,1,1,ok,5317.19843693935,5316.840448110861,5319.061,1946.5975779584155,55.26329231018133,8.197740680933748,462.44392453263384,4.662821216974094,5314.419107716685,6.328719108697687,True
46887,150.0864819,2.359282,3.3249,z_dja,3.3267910943646175,131.08645931203975,34.584149361955085,1,1,ok,5257.651183,5259.9501296862345,5261.061,1439.5154018490555,38.047006426507316,5.292437320944373,301.73851647794953,4.234647970128328,5258.303818076856,4.039018482148356,True
46979,150.16880099133834,2.3589189966666666,3.4614588551795977,z_sys,3.462768888416944,88.02907233579108,23.50417053810447,1,1,ok,5423.661686476182,5425.254254581827,5426.061,806.2062230020322,33.30340761878684,6.586015403833699,364.0812457516905,1.7607502273036202,5423.0690797179,4.064425246902747,True
47137,150.13685254,2.35927325,4.0384,z_dja,4.041292432671672,172.10414025088085,61.37322038770971,1,1,ok,6125.031728000001,6128.5479716259715,6130.061,2662.4295997716195,41.26170429304048,7.424695914142831,363.31497648141755,5.804278122533749,6126.551290453842,5.914613338776307,True
