ID,dx_arcsec,dy_arcsec,lya_wave_centre,peak_snr
16871,-0.30000000000000004,-0.4,4960.8453525,2.704188504408102
17058,0.19999999999999984,0.2999999999999998,5188.6315187499995,7.634287450727237
17416,-1.1102230246251565e-16,-0.30000000000000004,8345.209849,3.2908559566097946
17578,0.2999999999999998,0.19999999999999984,4975.899399333332,4.257445722122008
17806,-0.30000000000000004,-0.4,4810.2846230000005,4.029778812554529
17891,-0.20000000000000007,-0.20000000000000007,4975.858877,4.116799367548807
18444,-0.4,-0.30000000000000004,7130.2084675,3.923852898319356
18502,-0.4,-0.10000000000000009,5317.826848,11.236175176038053
19819,-1.1102230246251565e-16,0.2999999999999998,4964.553146,3.3459744657494594
23341,-0.20000000000000007,-0.20000000000000007,5085.269177,5.78137743512608
26580,-0.20000000000000007,-0.4,4868.028948000001,8.982307919748923
26999,-1.1102230246251565e-16,0.2999999999999998,5225.922196,13.137028354927821
29701,-0.10000000000000009,0.19999999999999984,5456.170094,22.60898603070975
33361,-0.10000000000000009,-0.10000000000000009,5456.008004666667,7.545066581792625
35799,-0.20000000000000007,-0.20000000000000007,5092.806331,6.811864698807764
38195,0.09999999999999987,0.09999999999999987,5082.716270000001,3.5053207120542282
41512,-0.30000000000000004,0.19999999999999984,4816.119839,5.651584375152996
42751,-1.1102230246251565e-16,0.09999999999999987,5085.816228500001,32.170055507995954
43604,-0.30000000000000004,-0.20000000000000007,4864.381938,3.719838263741412
43713,-0.30000000000000004,-0.20000000000000007,4864.381938,3.719838263741412
44980,-0.10000000000000009,0.2999999999999998,7603.8942830000005,6.091245944433967
45677,-0.20000000000000007,-1.1102230246251565e-16,5778.687345,5.162276999186977
45963,-0.20000000000000007,-0.30000000000000004,7923.858627,3.756176049961698
46212,0.09999999999999987,-1.1102230246251565e-16,5315.638642000001,33.51226259645437
46887,-1.1102230246251565e-16,-1.1102230246251565e-16,5249.0807095,33.85639917650766
46979,0.09999999999999987,-0.30000000000000004,5422.009767000001,24.09915290931059
47137,-1.1102230246251565e-16,-1.1102230246251565e-16,6125.214078500001,61.12530393345599
47218,-0.20000000000000007,0.3999999999999998,6553.1299185,3.42483658377345
47283,-0.10000000000000009,-1.1102230246251565e-16,5779.659881000001,27.940842588817745
