ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success,n_mc_attempted,n_mc_success,lya_peak_repeat,lya_peak_err_mc,z_lya_err_mc,delta_v_err_lya_kms,delta_v_err_sys_kms,delta_v_err_kms,flux_fit_err_mc,fwhm_kms_err_mc,frac_alpha_at_bound,frac_sigma_at_bound,frac_mu_at_bound,_grade,n_criteria_failed,tier,skew_pinned,dv_out_of_band,pass_grade_a,pass_fwhm>100,pass_dv_err<120,pass_snr>2,pass_not_pinned_or_oob
15479,150.13694119697945,2.251802222222222,5.108947826149207,z_sys,5.132725636208071,1166.879850060402,3.328606253858984,0,1,ok,7426.464603814808,7453.3177597887025,7455.370574169066,7451.061,64.58882678218434,17.88772734673866,2.9644202926865546,119.23699640399369,0.0001971255135646,7453.314599425917,1.2638290778737176,True,500.0,500.0,7453.317698828306,0.6947767890466733,0.0005716717440348,28.05440186929864,15.32977992130017,31.969542015481,18.924971710393464,72.99029904920603,0.548,0.174,0.0,a,0,gold,False,False,True,True,True,True,True
15748,150.14803567927123,2.253240097777778,5.522639188529189,z_sys,5.5251075126478,113.44870278284743,3.614754666976647,0,0,skew_pinned,7929.376782319279,7930.195921761803,7932.377449900551,7932.061,227.7433171946084,302.33680918503984,4.236604150693893,160.17298975092538,14.999950991775757,7929.563991310754,3.559281512316616,True,500.0,490.0,7930.197063438986,1.0992863033614322,0.0009045079658021,41.57284475052312,2.321031524183608,41.637586481295386,57.65248553570188,75.94010794289379,0.6061224489795919,0.0204081632653061,0.0,a,1,silver,True,False,True,True,True,True,False
16853,150.1270650425999,2.2572522866666667,5.862264361055884,z_sys,5.879201250766566,739.9236651469976,2.3710654510319307,0,0,skew_pinned,8342.248915804808,8360.540770704585,8362.838584519392,8364.061,141.78454535082665,46.30456658987464,6.615311861693044,237.24000055768536,14.999999999999982,8359.554033010929,5.557695826661912,True,500.0,494.0,8360.541034949574,1.8401469543912248,0.0015140987504807,66.14658983955584,87.99230759443972,110.0818674587097,46.52161925782145,132.5725370936602,0.6518218623481782,0.0425101214574898,0.0060728744939271,a,1,silver,True,False,True,True,True,True,False
16871,150.11744338197752,2.2569375833333334,3.0814630796266487,z_sys,3.089970833594827,624.9132785032474,2.244913021279718,0,1,ok,4961.712222009728,4970.667769273206,4972.054843276223,4969.061,106.88216118757936,37.34200003697868,1.7904476119028914,107.99760485228526,1.2633394095234696,4970.135136114917,1.0000000000000042,True,500.0,498.0,4970.667769277233,0.5991517909892671,0.0004929882183578,36.21107109464663,5.398908655618506,36.61133546448784,37.30752205765891,84.17119689918981,0.5522088353413654,0.4979919678714859,0.0,a,0,gold,False,False,True,True,True,True,True
17058,150.1247021987222,2.2579972033333333,3.268980072447333,z_sys,3.2727600663626264,265.4530234059382,7.809311377701261,1,1,ok,5189.671004672049,5192.820056167824,5194.266229875055,5191.061,384.31413446521503,50.80621383286979,6.407989580693538,369.9472441543337,0.004156704487426,5192.813239157632,2.726122375871794,True,500.0,500.0,5192.820073336867,0.6217377780004884,0.0005115725261997,35.925579991467444,1.0284486126436128,35.9402977766208,56.18357424746913,68.25979092491863,0.502,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
17074,150.14937244937013,2.258442725555556,5.50545452128854,z_sys,5.50904494023914,165.45815806227168,5.190732675199884,1,1,ok,7908.48589789484,7910.6744065887715,7912.850662500516,7905.061,552.7060925072927,82.90965649962713,19.20682019549531,727.8867066557168,3.2895591548095463e-06,7910.653930234618,8.188494025776814,True,500.0,500.0,7910.674398724725,2.3420195659867145,0.001927046042188,88.80453591308626,7.054833660722051,89.08432116101622,83.35476897741451,143.5559400944075,0.522,0.0,0.0,a,0,gold,False,False,True,True,True,True,True
17086,150.14558443125435,2.258416168888889,5.505161822211587,z_sys,5.532170448264174,1244.7011485342475,4.058620057731863,0,0,dv_out_of_band,7908.13007240796,7938.779802350645,7940.963648841309,7939.061,198.06888817423595,62.00655454137856,10.63352623636638,401.5548483714051,0.0004042945559851,7938.768465968729,4.53341912784964,True,500.0,500.0,7938.77979855373,2.1857648066301523,0.0017984775032108,82.88340952630969,2.3704240745173246,82.9172990696092,60.6997896327286,156.49337596514542,0.612,0.002,0.024,a,1,silver,False,True,True,True,True,True,False
17416,150.10994726,2.258986276666666,5.854014796650496,z_sys,5.88231613411741,1237.8916263851556,3.293785017077626,0,0,dv_out_of_band,8332.220167844109,8364.326417518001,8366.625254762512,8364.061,305.5976553540597,62.90742774206612,9.027208006626095,323.55243730547784,0.0085608172680674,8364.297607279683,3.8404047679256976,True,500.0,499.0,8364.32635451796,1.600802846271706,0.0013171630581959,57.61229914419504,28.249929309198176,64.1656880166878,70.17696334444682,104.97495868631242,0.6212424849699398,0.0060120240480961,0.002004008016032,c,2,bronze,False,True,False,True,True,True,False
17578,150.09739694820968,2.26011549,3.094567955187736,z_sys,3.08630221075644,-605.1939709825938,3.386820178353989,0,0,dv_out_of_band;skew_pinned,4977.643426083076,4966.209119203065,4967.595008550282,4973.061,275.7926960149445,70.91900934892779,8.99636179857498,543.2252856884361,14.999999999999607,4964.867224901176,7.558077905987906,True,500.0,499.0,4966.209119200243,2.311123291462923,0.0019016158653849,139.23082989336297,10.025707357116438,139.59132781374748,85.62880459958423,302.18472312189084,0.5771543086172345,0.0100200400801603,0.0561122244488977,a,2,bronze,True,True,True,True,False,True,False
17806,150.13665302764898,2.2605307544444444,2.955918150968278,z_sys,2.968264823477877,935.6713558059542,3.379000638807499,0,1,ok,4809.091018587606,4822.752690690248,4824.100497957352,4822.061,168.30512151333343,46.23388942356705,6.041121106048195,375.5293034986756,0.001157135620444,4822.746263965667,2.570047159902952,True,500.0,497.0,4822.75276774468,1.3341435304720333,0.0010977464032808,83.19082446629382,1287520.789875639,1287520.792563251,54.32064366030185,200.5392395722584,0.647887323943662,0.0241448692152917,0.0020120724346076,c,2,bronze,False,False,False,True,False,True,True
