ID,ra,dec,z_sys,z_sys_source,z_lya,delta_v_kms,lya_snr,snr_flag,quality_flag,quality_reason,lya_sys_wave,lya_peak_wave,lya_peak_wave_vac,best_center,flux_fit,flux_fit_err,fwhm_ang,fwhm_kms,alpha_skew,mu,sigma,fit_success
15479,150.13694119697945,2.251802222222222,5.108947826149207,z_sys,5.132725636208071,1166.879850060402,3.328606253858984,0,1,ok,7426.464603814808,7453.3177597887025,7455.3705741690665,7451.061,64.58882678218434,17.88772734673866,2.9644202926865546,119.23699640399367,0.0001971255135646153,7453.314599425917,1.2638290778737176,True
15748,150.14803567927123,2.253240097777778,5.522639188529189,z_sys,5.5251075126478,113.44870278284745,3.614754666976647,0,0,skew_pinned,7929.376782319279,7930.195921761803,7932.377449900551,7932.061,227.74331719460838,302.33680918503984,4.236604150693893,160.17298975092538,14.999950991775757,7929.563991310754,3.5592815123166157,True
16853,150.1270650425999,2.2572522866666667,5.862264361055884,z_sys,5.879201250766566,739.9236651469976,2.3710654510319307,0,0,skew_pinned,8342.248915804808,8360.540770704585,8362.838584519392,8364.061,141.78454535082665,46.30456658987464,6.615311861693044,237.24000055768536,14.999999999999982,8359.554033010929,5.557695826661912,True
16871,150.11744338197752,2.2569375833333334,3.0814630796266487,z_sys,3.089970833594827,624.9132785032474,2.244913021279718,0,1,ok,4961.712222009728,4970.667769273206,4972.054843276223,4969.061,106.88216118757937,37.342000036978675,1.7904476119028914,107.99760485228526,1.2633394095234696,4970.135136114917,1.0000000000000042,True
17058,150.1247021987222,2.2579972033333333,3.268980072447333,z_sys,3.2727600663626264,265.4530234059382,7.809311377701261,1,1,ok,5189.671004672049,5192.820056167824,5194.266229875055,5191.061,384.31413446521503,50.80621383286979,6.407989580693538,369.9472441543337,0.004156704487426068,5192.813239157632,2.726122375871794,True
17074,150.14937244937013,2.2584427255555557,5.50545452128854,z_sys,5.50904494023914,165.45815806227168,5.190732675199884,1,1,ok,7908.48589789484,7910.6744065887715,7912.850662500516,7905.061,552.7060925072927,82.90965649962713,19.20682019549531,727.8867066557168,3.2895591548095463e-06,7910.653930234618,8.188494025776814,True
17086,150.14558443125435,2.258416168888889,5.505161822211587,z_sys,5.532170448264174,1244.7011485342475,4.058620057731863,0,0,dv_out_of_band,7908.13007240796,7938.779802350645,7940.963648841309,7939.061,198.06888817423595,62.00655454137856,10.633526236366379,401.5548483714051,0.00040429455598512944,7938.768465968729,4.53341912784964,True
17416,150.10994726,2.2589862766666666,5.854014796650496,z_sys,5.88231613411741,1237.8916263851556,3.293785017077626,0,0,dv_out_of_band,8332.220167844109,8364.326417518001,8366.625254762512,8364.061,305.5976553540597,62.90742774206612,9.027208006626097,323.55243730547784,0.008560817268067449,8364.297607279683,3.8404047679256976,True
17578,150.09739694820968,2.26011549,3.094567955187736,z_sys,3.0863022107564397,-605.1939709825938,3.386820178353989,0,0,dv_out_of_band;skew_pinned,4977.643426083076,4966.209119203065,4967.595008550282,4973.061,275.7926960149445,70.91900934892779,8.99636179857498,543.2252856884361,14.999999999999607,4964.867224901176,7.558077905987906,True
17806,150.13665302764898,2.2605307544444444,2.955918150968278,z_sys,2.9682648234778775,935.6713558059542,3.379000638807499,0,1,ok,4809.091018587606,4822.752690690248,4824.100497957352,4822.061,168.30512151333343,46.23388942356705,6.041121106048195,375.5293034986756,0.0011571356204440055,4822.746263965667,2.570047159902952,True
17891,150.09815698118564,2.2602663944444443,3.0928437799138218,z_sys,3.0875318430801313,-389.088537394978,4.310987003327139,0,0,dv_out_of_band;skew_pinned,4975.547397927836,4967.703549269329,4969.089835677223,4971.061,310.2089131099178,66.14512769741495,12.543052919138972,757.2370928168617,14.999999999999693,4965.832631712063,10.537745509167243,True
