ID,ra,dec,peak_snr,best_center,lya_obs
15479,150.13694119697945,2.251802222222222,3.3286062538589833,7451.061,7426.464603814808
15748,150.14803567927123,2.253240097777778,3.614754666976647,7932.061,7929.376782319279
16853,150.1270650425999,2.2572522866666667,2.3710654510319307,8364.061,8342.248915804808
16871,150.11744338197752,2.2569375833333334,2.244913021279718,4969.061,4961.712222009728
17058,150.1247021987222,2.2579972033333333,7.8093113777012615,5191.061,5189.671004672049
17074,150.14937244937013,2.2584427255555557,5.190732675199884,7905.061,7908.48589789484
17086,150.14558443125435,2.258416168888889,4.058620057731863,7939.061,7908.13007240796
17416,150.10994726,2.2589862766666666,3.293785017077626,8364.061,8332.220167844109
17578,150.09739694820968,2.26011549,3.3868201783539895,4973.061,4977.643426083076
17806,150.13665302764898,2.2605307544444444,3.379000638807499,4822.061,4809.091018587606
17891,150.09815698118564,2.2602663944444443,4.310987003327139,4971.061,4975.547397927836
18444,150.12027360213534,2.2633166566666665,3.8342967019580625,7135.061,7130.750541964096
18502,150.09363490210197,2.263806912222222,10.547205131145764,5322.061,5317.826848
18866,150.13633145152758,2.2647953511111107,2.3296545804315993,5172.061,5163.527275045358
19819,150.11892789,2.2683828133333335,2.238219475113376,4968.061,4965.399609984888
23341,150.12872019037997,2.2812037944444445,6.0390342390588385,5085.061,5086.3761707886315
26580,150.11948845996713,2.291802978888889,8.883438835011361,4871.061,4869.0981071444985
26999,150.09337527,2.2937405133333333,13.23233341789166,5231.061,5227.548573293017
28600,150.1112496902858,2.29841707,2.7719583025638777,5476.061,5454.720460343086
29701,150.10582531977326,2.3027749655555554,22.136425663191666,5458.061,5458.244118851666
33361,150.1186535995437,2.314427162222222,7.45416116550701,5463.061,5457.5972231137675
35799,150.15708537876117,2.3227015644444444,6.942294940848331,5088.061,5088.123353640369
38195,150.17782381,2.330552507777778,3.580981185347554,5093.061,5084.306119130525
41512,150.18109583900358,2.341806872222222,6.465591431622585,4825.061,4826.553776009853
42751,150.13917181,2.345338637777778,32.317050450093795,5091.061,5087.017081163938
42812,150.07946153679046,2.345420498888889,3.0540075513505602,4855.061,4851.009568
42990,150.11015839,2.3465862566666664,2.0551295140717163,5507.061,5496.192256430179
43129,150.11015839,2.3465862566666664,2.0551295140717163,5507.061,5496.192256430179
43604,150.10364252660779,2.3485374544444446,3.766799288729469,4870.061,4865.898289169043
43683,150.08969066,2.348563267777778,13.16987088522881,5504.061,5502.198539721245
43713,150.10364252660779,2.3485374544444446,3.766799288729469,4870.061,4865.898289169043
44361,150.07672123,2.350948707777778,15.347033798550598,7455.061,7454.804996105755
44980,150.07847712879428,2.3524412033333335,6.142586581025192,7610.061,7605.385776274264
45004,150.07851878758936,2.352448581111111,5.957940172988147,7610.061,7603.915654670342
45443,150.1217307550671,2.3536541466666665,4.705459261184913,5266.061,5265.599841544186
45547,150.14623671,2.3543245244444444,15.534694532601272,6667.061,6662.479435
45677,150.1413637674817,2.35503687,5.246657225870278,5785.061,5780.397050373253
45963,150.0888703774479,2.355855602222222,3.3959374028523097,7955.061,7923.973987900052
46008,150.12406824617432,2.3558978255555556,3.644271243822777,6587.061,6575.315896000001
46091,150.11776606746682,2.35541026,4.097456047535478,5109.061,5092.252959698837
46212,150.15076755129388,2.35677657,33.515138613622895,5319.061,5317.19843693935
46887,150.0864819,2.359282,34.584149361955085,5261.061,5257.651183
46979,150.16880099133834,2.3589189966666666,23.50417053810447,5426.061,5423.661686476182
